Date,DocumentWeight,Amount Awarded,Identifier,Topic
2001,0.0,0.0,0,topic7
2002,0.0,0.0,0,topic7
2003,0.0,0.0,0,topic7
2004,0.0,0.0,0,topic7
2005,0.0,0.0,0,topic7
2006,0.0,0.0,0,topic7
2007,0.0,0.0,0,topic7
2008,0.0,0.0,0,topic7
2009,0.0,0.0,0,topic7
2010,0.0,0.0,0,topic7
2011,0.0,0.0,0,topic7
2012,0.213123913356,204120.0,5,topic7
2013,0.119514096462,142922.0,3,topic7
2014,0.126848602408,170707.0,3,topic7
2015,0.0,0.0,0,topic7
2016,0.0,0.0,0,topic7
2017,0.203295454082,90300.0,5,topic7
2018,0.0,0.0,0,topic7
1998,0.0,0.0,0,topic8
1999,0.0,0.0,0,topic8
2000,0.0,0.0,0,topic8
2001,0.0,0.0,0,topic8
2002,0.0,0.0,0,topic8
2003,0.0,0.0,0,topic8
2004,0.0,0.0,0,topic8
2005,0.0,0.0,0,topic8
2006,0.0,0.0,0,topic8
2007,0.0,0.0,0,topic8
2008,0.0,0.0,0,topic8
2009,0.0,0.0,0,topic8
2010,0.0,0.0,0,topic8
2011,0.0,0.0,0,topic8
2012,0.0,0.0,0,topic8
2013,0.0,0.0,0,topic8
2014,0.0,0.0,0,topic8
2015,0.0,0.0,0,topic8
2016,0.0,0.0,0,topic8
2017,0.0,0.0,0,topic8
2018,0.0,0.0,0,topic8
1998,0.0,0.0,0,topic9
1999,0.0,0.0,0,topic9
2000,0.0,0.0,0,topic9
2001,0.0,0.0,0,topic9
2002,0.0,0.0,0,topic9
2003,0.0,0.0,0,topic9
2004,0.0,0.0,0,topic9
2005,0.0,0.0,0,topic9
2006,0.0,0.0,0,topic9
2007,0.0,0.0,0,topic9
2008,0.0,0.0,0,topic9
2009,0.0,0.0,0,topic9
2010,0.0300666265791,9200.0,1,topic9
2011,0.0,0.0,0,topic9
2012,0.0,0.0,0,topic9
2013,0.0309376191112,3200.0,1,topic9
2014,0.0276558777854,5687.0,1,topic9
2015,0.0298311675222,9902.0,1,topic9
2016,0.0,0.0,0,topic9
2017,0.0306091114007,6390.0,1,topic9
2018,0.0,0.0,0,topic9
1998,0.0,0.0,0,topic10
1999,0.0,0.0,0,topic10
2000,0.0,0.0,0,topic10
2001,0.0,0.0,0,topic10
2002,0.0,0.0,0,topic10
2003,0.0,0.0,0,topic10
2004,0.0,0.0,0,topic10
2005,0.0,0.0,0,topic10
2006,0.0,0.0,0,topic10
2007,0.0,0.0,0,topic10
2008,0.0,0.0,0,topic10
2009,0.0230410489609,9421.0,1,topic10
2010,0.318332931161,103319.0,13,topic10
2011,0.247893814488,75553.0,10,topic10
2012,0.124542544585,35091.0,5,topic10
2013,0.151167469574,91171.0,6,topic10
2014,0.125255157259,33917.0,5,topic10
2015,0.195319007527,69744.0,8,topic10
2016,0.0505298801499,9840.0,2,topic10
2017,0.0470668989666,16849.0,2,topic10
2018,0.0,0.0,0,topic10
1998,0.0,0.0,0,topic11
1999,0.0,0.0,0,topic11
2000,0.0,0.0,0,topic11
2001,0.0,0.0,0,topic11
2002,0.0,0.0,0,topic11
2003,0.0,0.0,0,topic11
2004,0.0,0.0,0,topic11
2005,0.0,0.0,0,topic11
2006,0.0,0.0,0,topic11
2007,0.0,0.0,0,topic11
2008,0.0227573470001,52650.0,1,topic11
2009,0.0,0.0,0,topic11
2010,0.0,0.0,0,topic11
2011,0.0,0.0,0,topic11
2012,0.0,0.0,0,topic11
2013,0.0,0.0,0,topic11
2014,0.0,0.0,0,topic11
2015,0.0,0.0,0,topic11
2016,0.0,0.0,0,topic11
2017,0.0,0.0,0,topic11
2018,0.0,0.0,0,topic11
1998,0.0,0.0,0,topic12
1999,0.0,0.0,0,topic12
2000,0.0,0.0,0,topic12
2001,0.0,0.0,0,topic12
2002,0.0,0.0,0,topic12
2003,0.0,0.0,0,topic12
2004,0.0,0.0,0,topic12
2005,0.0,0.0,0,topic12
2006,0.0,0.0,0,topic12
2007,0.0,0.0,0,topic12
2008,0.0,0.0,0,topic12
2009,0.0,0.0,0,topic12
2010,0.0218119265808,6440.0,1,topic12
2011,0.0232139302855,7227.0,1,topic12
2012,0.0,0.0,0,topic12
2013,0.0,0.0,0,topic12
2014,0.0,0.0,0,topic12
2015,0.0,0.0,0,topic12
2016,0.0,0.0,0,topic12
2017,0.0,0.0,0,topic12
2018,0.0,0.0,0,topic12
1998,0.0,0.0,0,topic13
1999,0.0,0.0,0,topic13
2000,0.0,0.0,0,topic13
2001,0.0,0.0,0,topic13
2002,0.0,0.0,0,topic13
2003,0.0,0.0,0,topic13
2004,0.0,0.0,0,topic13
2005,0.0,0.0,0,topic13
2006,0.0,0.0,0,topic13
2007,0.0,0.0,0,topic13
2008,0.0,0.0,0,topic13
2009,0.139702549819,2011950.0,4,topic13
2010,0.0364456688291,450000.0,1,topic13
2011,0.118600211332,1255402.0,3,topic13
2012,0.301830166084,558074.0,9,topic13
2013,0.210247385834,72815.0,6,topic13
2014,0.206911375064,1096435.0,6,topic13
2015,0.19189186834,687700.0,6,topic13
2016,0.173468836202,234990.0,5,topic13
2017,0.16262917402,44392.0,5,topic13
2018,0.0,0.0,0,topic13
1998,0.0,0.0,0,topic14
1999,0.0,0.0,0,topic14
2000,0.0,0.0,0,topic14
2001,0.0,0.0,0,topic14
2002,0.0,0.0,0,topic14
2003,0.0,0.0,0,topic14
2004,0.0,0.0,0,topic14
2005,0.0,0.0,0,topic14
2006,0.0,0.0,0,topic14
2007,0.0,0.0,0,topic14
2008,0.0,0.0,0,topic14
2009,0.0,0.0,0,topic14
2010,0.0,0.0,0,topic14
2011,0.0,0.0,0,topic14
2012,0.0,0.0,0,topic14
2013,0.0,0.0,0,topic14
2014,0.0,0.0,0,topic14
2015,0.0,0.0,0,topic14
2016,0.0,0.0,0,topic14
2017,0.0,0.0,0,topic14
2018,0.0,0.0,0,topic14
