Date,DocumentWeight,Amount Awarded,Identifier,Topic
2016,0.747013189119,187169.0,21,topic6
2017,0.284649099874,67699.0,8,topic6
2018,0.0,0.0,0,topic6
1998,0.0,0.0,0,topic7
1999,0.0,0.0,0,topic7
2000,0.0,0.0,0,topic7
2001,0.0,0.0,0,topic7
2002,0.0,0.0,0,topic7
2003,0.0,0.0,0,topic7
2004,0.648190696662,588860.0,16,topic7
2005,1.69346142326,941027.0,42,topic7
2006,4.14310248954,509971.0,99,topic7
2007,5.25186823123,1192366.0,124,topic7
2008,3.40536093236,2370697.0,82,topic7
2009,3.16195497436,1157461.0,75,topic7
2010,3.42725542299,876889.0,82,topic7
2011,2.24276698513,464679.0,55,topic7
2012,2.18343927867,437078.0,53,topic7
2013,2.16369740479,2089622.0,52,topic7
2014,4.03596606543,4098990.87,92,topic7
2015,2.78625314075,1788513.35,66,topic7
2016,1.95623550093,1019640.0,47,topic7
2017,1.18972334665,690938.0,28,topic7
2018,0.0,0.0,0,topic7
1998,0.0,0.0,0,topic8
1999,0.0,0.0,0,topic8
2000,0.0,0.0,0,topic8
2001,0.0,0.0,0,topic8
2002,0.0,0.0,0,topic8
2003,0.0,0.0,0,topic8
2004,0.0623682177888,64415.0,2,topic8
2005,0.0335052332015,5000.0,1,topic8
2006,0.0324763848476,53043.0,1,topic8
2007,0.234663523035,56884.0,8,topic8
2008,0.305157666241,63076.0,10,topic8
2009,0.123009100417,24790.0,4,topic8
2010,0.0315344998359,49772.0,1,topic8
2011,0.0603964928916,17144.0,2,topic8
2012,0.0,0.0,0,topic8
2013,0.0,0.0,0,topic8
2014,0.0,0.0,0,topic8
2015,0.0657951889972,7673.0,2,topic8
2016,0.0,0.0,0,topic8
2017,0.0,0.0,0,topic8
2018,0.0,0.0,0,topic8
1998,0.0,0.0,0,topic9
1999,0.0,0.0,0,topic9
2000,0.0,0.0,0,topic9
2001,0.0,0.0,0,topic9
2002,0.0,0.0,0,topic9
2003,0.0,0.0,0,topic9
2004,0.428985531347,615570.0,14,topic9
2005,0.919846497681,2569384.0,30,topic9
2006,0.855179557398,1387606.0,28,topic9
2007,0.856299678066,6340619.0,27,topic9
2008,0.453594656225,12775370.0,15,topic9
2009,0.666485993373,5033926.0,22,topic9
2010,0.909435872034,937108.0,29,topic9
2011,1.58115105258,2726016.0,51,topic9
2012,1.49899615343,2878251.0,48,topic9
2013,1.57025931676,4887778.41,50,topic9
2014,3.13133479233,2815518.32,89,topic9
2015,3.49764232774,2946737.89,109,topic9
2016,3.80213051462,5437032.0,120,topic9
2017,2.80978055931,2043869.0,90,topic9
2018,0.0,0.0,0,topic9
1998,0.0,0.0,0,topic10
1999,0.0,0.0,0,topic10
2000,0.0,0.0,0,topic10
2001,0.0,0.0,0,topic10
2002,0.0,0.0,0,topic10
2003,0.0,0.0,0,topic10
2004,1.47394205518,880885.0,57,topic10
2005,1.83726758981,1155461.0,70,topic10
2006,2.84858073351,1194483.0,107,topic10
2007,1.43555079506,1885798.0,55,topic10
2008,1.55748469717,754989.0,59,topic10
2009,1.71403431314,1953338.0,66,topic10
2010,1.82198211275,1932814.0,70,topic10
2011,1.36119144388,1230447.0,52,topic10
2012,1.16654472921,589085.16,46,topic10
2013,1.34918333352,707827.0,52,topic10
2014,1.88537460943,1018566.93,61,topic10
2015,1.54682981811,838798.77,53,topic10
2016,0.990600464794,471866.0,39,topic10
