Date,DocumentWeight,Amount Awarded,Identifier,Topic
2005,0.0500558302965,1000.0,1,topic7
2006,0.0381099737635,1000.0,1,topic7
2007,0.0943110799061,5500.0,2,topic7
2008,0.0,0.0,0,topic7
2009,0.0,0.0,0,topic7
2010,0.0387081635635,2500.0,1,topic7
2011,0.0,0.0,0,topic7
2012,0.0,0.0,0,topic7
2013,0.0,0.0,0,topic7
2014,0.0,0.0,0,topic7
2015,0.045237058908,10000.0,1,topic7
2016,0.0,0.0,0,topic7
2017,0.0,0.0,0,topic7
2018,0.0,0.0,0,topic7
1998,0.0,0.0,0,topic8
1999,0.0,0.0,0,topic8
2000,0.0,0.0,0,topic8
2001,0.0,0.0,0,topic8
2002,0.0,0.0,0,topic8
2003,0.0,0.0,0,topic8
2004,0.0,0.0,0,topic8
2005,0.282075429455,46500.0,8,topic8
2006,0.127000402451,31500.0,4,topic8
2007,0.330629456627,128000.0,9,topic8
2008,0.310616042811,87000.0,10,topic8
2009,0.343280642908,215450.0,10,topic8
2010,0.310616042811,143000.0,10,topic8
2011,0.163136237742,51000.0,5,topic8
2012,0.174435689273,233000.0,6,topic8
2013,0.146128070318,108100.0,5,topic8
2014,0.224341451195,196000.0,7,topic8
2015,0.0,0.0,0,topic8
2016,0.0566152379096,165000.0,2,topic8
2017,0.0849228568644,225000.0,3,topic8
2018,0.0,0.0,0,topic8
1998,0.0,0.0,0,topic9
1999,0.0,0.0,0,topic9
2000,0.0,0.0,0,topic9
2001,0.0,0.0,0,topic9
2002,0.0,0.0,0,topic9
2003,0.0,0.0,0,topic9
2004,0.0,0.0,0,topic9
2005,0.0,0.0,0,topic9
2006,0.0,0.0,0,topic9
2007,0.0,0.0,0,topic9
2008,0.0,0.0,0,topic9
2009,0.0,0.0,0,topic9
2010,0.0,0.0,0,topic9
2011,0.0,0.0,0,topic9
2012,0.0,0.0,0,topic9
2013,0.0,0.0,0,topic9
2014,0.0,0.0,0,topic9
2015,0.0,0.0,0,topic9
2016,0.0,0.0,0,topic9
2017,0.0426367865261,35000.0,1,topic9
2018,0.0,0.0,0,topic9
1998,0.0,0.0,0,topic10
1999,0.0,0.0,0,topic10
2000,0.0,0.0,0,topic10
2001,0.0,0.0,0,topic10
2002,0.0,0.0,0,topic10
2003,0.0,0.0,0,topic10
2004,0.0,0.0,0,topic10
2005,0.405883650193,112900.0,12,topic10
2006,0.181922544247,63000.0,6,topic10
2007,0.15411700176,80500.0,5,topic10
2008,0.0912430284586,57500.0,3,topic10
2009,0.220094773902,125900.0,7,topic10
2010,0.178295300955,44900.0,5,topic10
2011,0.189506182449,114500.0,5,topic10
2012,0.0,0.0,0,topic10
2013,0.0,0.0,0,topic10
2014,0.0400878301468,20000.0,1,topic10
2015,0.0674658549639,115000.0,2,topic10
2016,0.0400878301468,60000.0,1,topic10
2017,0.103638215402,53000.0,3,topic10
2018,0.0,0.0,0,topic10
1998,0.0,0.0,0,topic11
1999,0.0,0.0,0,topic11
2000,0.0,0.0,0,topic11
2001,0.0,0.0,0,topic11
2002,0.0,0.0,0,topic11
2003,0.0,0.0,0,topic11
2004,0.0,0.0,0,topic11
2005,0.0266564968392,2000.0,1,topic11
2006,0.0824908245181,27000.0,3,topic11
2007,0.0251477081717,1000.0,1,topic11
2008,0.0,0.0,0,topic11
2009,0.0,0.0,0,topic11
2010,0.0619009202996,17500.0,2,topic11
2011,0.0,0.0,0,topic11
2012,0.0,0.0,0,topic11
2013,0.0390727266309,75000.0,1,topic11
2014,0.0,0.0,0,topic11
2015,0.0,0.0,0,topic11
2016,0.0,0.0,0,topic11
2017,0.0,0.0,0,topic11
2018,0.0,0.0,0,topic11
1998,0.0,0.0,0,topic12
1999,0.0,0.0,0,topic12
2000,0.0,0.0,0,topic12
2001,0.0,0.0,0,topic12
2002,0.0,0.0,0,topic12
2003,0.0,0.0,0,topic12
2004,0.0,0.0,0,topic12
2005,0.0267158933123,1500.0,1,topic12
2006,0.148556500559,21500.0,4,topic12
2007,0.0,0.0,0,topic12
2008,0.150301640793,21500.0,4,topic12
2009,0.0790265283429,25500.0,3,topic12
2010,0.128702333402,38500.0,4,topic12
2011,0.0,0.0,0,topic12
2012,0.0220740911955,50000.0,1,topic12
2013,0.0,0.0,0,topic12
2014,0.0466390417366,46000.0,1,topic12
2015,0.0,0.0,0,topic12
2016,0.0,0.0,0,topic12
2017,0.0,0.0,0,topic12
2018,0.0,0.0,0,topic12
1998,0.0,0.0,0,topic13
1999,0.0,0.0,0,topic13
2000,0.0,0.0,0,topic13
2001,0.0,0.0,0,topic13
2002,0.0,0.0,0,topic13
2003,0.0,0.0,0,topic13
2004,0.0,0.0,0,topic13
2005,0.404333966533,131500.0,10,topic13
2006,0.316203566065,49500.0,8,topic13
2007,0.52499885292,187000.0,13,topic13
2008,0.10558925345,22500.0,2,topic13
2009,0.166912233642,30000.0,4,topic13
2010,0.073376170873,27500.0,2,topic13
2011,0.0,0.0,0,topic13
2012,0.0603268064012,12000.0,1,topic13
2013,0.0,0.0,0,topic13
2014,0.0,0.0,0,topic13
2015,0.0,0.0,0,topic13
2016,0.0510617985798,5000.0,1,topic13
2017,0.0510617985798,1500.0,1,topic13
2018,0.0,0.0,0,topic13
1998,0.0,0.0,0,topic14
1999,0.0,0.0,0,topic14
2000,0.0,0.0,0,topic14
2001,0.0,0.0,0,topic14
2002,0.0,0.0,0,topic14
2003,0.0,0.0,0,topic14
2004,0.0,0.0,0,topic14
2005,0.0,0.0,0,topic14
2006,0.0,0.0,0,topic14
2007,0.0,0.0,0,topic14
2008,0.0,0.0,0,topic14
2009,0.0,0.0,0,topic14
2010,0.0,0.0,0,topic14
2011,0.0,0.0,0,topic14
2012,0.0,0.0,0,topic14
2013,0.0,0.0,0,topic14
2014,0.0,0.0,0,topic14
2015,0.0,0.0,0,topic14
2016,0.0,0.0,0,topic14
2017,0.0,0.0,0,topic14
2018,0.0,0.0,0,topic14
