Date,DocumentWeight,Amount Awarded,Identifier,Topic
2011,0.0,0.0,0,topic7
2012,0.0,0.0,0,topic7
2013,0.0,0.0,0,topic7
2014,0.0,0.0,0,topic7
2015,0.0,0.0,0,topic7
2016,0.0,0.0,0,topic7
2017,0.0,0.0,0,topic7
2018,0.0,0.0,0,topic7
1998,0.0,0.0,0,topic8
1999,0.0,0.0,0,topic8
2000,0.0,0.0,0,topic8
2001,0.0,0.0,0,topic8
2002,0.0,0.0,0,topic8
2003,0.0,0.0,0,topic8
2004,0.0,0.0,0,topic8
2005,0.0,0.0,0,topic8
2006,0.0,0.0,0,topic8
2007,0.0,0.0,0,topic8
2008,0.0,0.0,0,topic8
2009,0.0,0.0,0,topic8
2010,3.56295497184,2733800.0,111,topic8
2011,3.48515212191,3316800.0,108,topic8
2012,3.65449474854,2684960.0,113,topic8
2013,0.117119414147,101950.0,4,topic8
2014,0.0,0.0,0,topic8
2015,0.0691732902907,132724.0,2,topic8
2016,0.0298831727965,67329.0,1,topic8
2017,0.0,0.0,0,topic8
2018,0.0,0.0,0,topic8
1998,0.0,0.0,0,topic9
1999,0.0,0.0,0,topic9
2000,0.0,0.0,0,topic9
2001,0.0,0.0,0,topic9
2002,0.0,0.0,0,topic9
2003,0.0,0.0,0,topic9
2004,0.0,0.0,0,topic9
2005,0.0,0.0,0,topic9
2006,0.0,0.0,0,topic9
2007,0.0,0.0,0,topic9
2008,0.0,0.0,0,topic9
2009,0.0,0.0,0,topic9
2010,0.151703233248,404300.0,5,topic9
2011,0.0,0.0,0,topic9
2012,0.0274299535514,20000.0,1,topic9
2013,0.156946416131,79100.0,5,topic9
2014,0.178737276229,157328.2,6,topic9
2015,0.05823398015,127941.0,2,topic9
2016,0.0887915142411,221010.0,3,topic9
2017,0.170801899582,277763.0,5,topic9
2018,0.0,0.0,0,topic9
1998,0.0,0.0,0,topic10
1999,0.0,0.0,0,topic10
2000,0.0,0.0,0,topic10
2001,0.0,0.0,0,topic10
2002,0.0,0.0,0,topic10
2003,0.0,0.0,0,topic10
2004,0.0,0.0,0,topic10
2005,0.0,0.0,0,topic10
2006,0.0,0.0,0,topic10
2007,0.0,0.0,0,topic10
2008,0.0,0.0,0,topic10
2009,0.0,0.0,0,topic10
2010,0.0291548618615,2600.0,1,topic10
2011,0.0,0.0,0,topic10
2012,0.0,0.0,0,topic10
2013,0.0297269326379,16700.0,1,topic10
2014,0.0261919287464,21067.2,1,topic10
2015,0.0,0.0,0,topic10
2016,0.0,0.0,0,topic10
2017,0.0250100608236,5750.0,1,topic10
2018,0.0,0.0,0,topic10
1998,0.0,0.0,0,topic11
1999,0.0,0.0,0,topic11
2000,0.0,0.0,0,topic11
2001,0.0,0.0,0,topic11
2002,0.0,0.0,0,topic11
2003,0.0,0.0,0,topic11
2004,0.0,0.0,0,topic11
2005,0.0,0.0,0,topic11
2006,0.0,0.0,0,topic11
2007,0.0,0.0,0,topic11
2008,0.0,0.0,0,topic11
2009,0.0,0.0,0,topic11
2010,0.0,0.0,0,topic11
2011,0.0,0.0,0,topic11
2012,0.0,0.0,0,topic11
2013,0.022104536276,30000.0,1,topic11
2014,0.0,0.0,0,topic11
2015,0.0,0.0,0,topic11
2016,0.0,0.0,0,topic11
2017,0.0,0.0,0,topic11
2018,0.0,0.0,0,topic11
1998,0.0,0.0,0,topic12
1999,0.0,0.0,0,topic12
2000,0.0,0.0,0,topic12
2001,0.0,0.0,0,topic12
2002,0.0,0.0,0,topic12
2003,0.0,0.0,0,topic12
2004,0.0,0.0,0,topic12
2005,0.0,0.0,0,topic12
2006,0.0,0.0,0,topic12
2007,0.0,0.0,0,topic12
2008,0.0,0.0,0,topic12
2009,0.0,0.0,0,topic12
2010,0.0,0.0,0,topic12
2011,0.0262717223639,22200.0,1,topic12
2012,0.0,0.0,0,topic12
2013,0.180670948376,155350.0,7,topic12
2014,0.0738565340614,75200.0,3,topic12
2015,0.0,0.0,0,topic12
2016,0.0,0.0,0,topic12
2017,0.0,0.0,0,topic12
2018,0.0,0.0,0,topic12
1998,0.0,0.0,0,topic13
1999,0.0,0.0,0,topic13
2000,0.0,0.0,0,topic13
2001,0.0,0.0,0,topic13
2002,0.0,0.0,0,topic13
2003,0.0,0.0,0,topic13
2004,0.0,0.0,0,topic13
2005,0.0,0.0,0,topic13
2006,0.0,0.0,0,topic13
2007,0.0,0.0,0,topic13
2008,0.0,0.0,0,topic13
2009,0.0,0.0,0,topic13
2010,0.346482948564,160500.0,9,topic13
2011,0.422268009199,309200.0,11,topic13
2012,0.803476074962,475700.0,22,topic13
2013,0.167596331863,117720.2,5,topic13
2014,0.0363071614086,28250.0,1,topic13
2015,0.0,0.0,0,topic13
2016,0.0,0.0,0,topic13
2017,0.0702830562146,30000.0,2,topic13
2018,0.0,0.0,0,topic13
1998,0.0,0.0,0,topic14
1999,0.0,0.0,0,topic14
2000,0.0,0.0,0,topic14
2001,0.0,0.0,0,topic14
2002,0.0,0.0,0,topic14
2003,0.0,0.0,0,topic14
2004,0.0,0.0,0,topic14
2005,0.0,0.0,0,topic14
2006,0.0,0.0,0,topic14
2007,0.0,0.0,0,topic14
2008,0.0,0.0,0,topic14
2009,0.0,0.0,0,topic14
2010,0.0,0.0,0,topic14
2011,0.0,0.0,0,topic14
2012,0.0,0.0,0,topic14
2013,0.0,0.0,0,topic14
2014,0.0,0.0,0,topic14
2015,0.0,0.0,0,topic14
2016,0.0,0.0,0,topic14
2017,0.0,0.0,0,topic14
2018,0.0,0.0,0,topic14
