DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
2.98125051267,63480.0,63,topic0
2.17326459365,84331.0,46,topic0
8.41243115065,292945.0,178,topic0
10.6816372994,334283.0,226,topic0
6.14726010784,154353.0,130,topic0
1.98476902393,58427.0,42,topic0
1.37077513144,45575.0,29,topic0
0.520527514759,13475.0,11,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
0.0,0.0,0,topic0
