DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0352871991423,15000.0,1,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.082074090024,20262.0,3,topic3
0.0,0.0,0,topic3
0.0264857093755,1008.0,1,topic3
0.0421272260588,1204.0,1,topic3
0.0500051130797,6255.0,2,topic3
0.0664945950053,34943.0,2,topic3
0.0250484751941,7000.0,1,topic3
0.0821841732851,20000.0,3,topic3
0.0512783311928,19988.0,2,topic3
0.0675481709439,9500.0,2,topic3
0.0577160143632,14325.0,2,topic3
0.0276620568193,10081.0,1,topic3
0.0568951994867,8842.0,2,topic3
0.154382717944,31371.0,4,topic3
0.0,0.0,0,topic3
0.0252488450672,1560.0,1,topic3
0.0506431535725,22500.0,2,topic3
0.0,0.0,0,topic3
0.0,0.0,0,topic3
0.104683568488,30883.0,4,topic3
0.210362124984,1550775.0,8,topic3
0.198639088056,1337204.0,7,topic3
0.162709960995,45474.0,5,topic3
0.23679108805,57812.0,8,topic3
0.344640928134,88871.0,13,topic3
0.166633821052,43951.0,6,topic3
0.154538826204,50118.0,6,topic3
0.078804295638,23675.0,3,topic3
0.214562611542,95733.0,8,topic3
0.215527021587,53897.0,8,topic3
0.218265245562,63589.0,8,topic3
0.23925653155,87467.0,9,topic3
0.207522353352,44317.89,7,topic3
0.332642723148,85459.0,12,topic3
0.216927193986,85408.0,7,topic3
0.211148583319,69145.0,6,topic3
0.55792140506,765294.2,16,topic3
2.20245296809,940351.19,54,topic3
1.95627846875,1051878.0,48,topic3
1.92737296869,2412079.42,49,topic3
1.92213462456,2150276.69,48,topic3
0.436527886268,122074.0,13,topic3
0.731532219258,355366.0,19,topic3
0.236190342847,41349.0,6,topic3
0.294848320746,500712.0,9,topic3
0.347392305095,76026.0,11,topic3
0.344320313051,301013.0,10,topic3
0.903940800475,103729.0,25,topic3
0.246536867118,353639.0,7,topic3
0.178363851754,33480.0,5,topic3
0.510380395893,58452.0,14,topic3
0.343069519559,254962.86,10,topic3
0.0247741505738,2500.0,1,topic3
