DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0500558302965,3000.0,1,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0420428039067,6437.0,1,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.0,0.0,0,topic7
0.130425608003,60000.0,3,topic7
0.084630430133,7000.0,2,topic7
0.0449753730835,2715.0,1,topic7
0.0861564143391,91000.0,2,topic7
0.0881016936662,10000.0,2,topic7
0.173379078586,175602.0,4,topic7
0.221731878222,66000.0,5,topic7
1.01175359133,99119.0,23,topic7
0.179653550621,18566.0,4,topic7
0.571378756544,64138.0,13,topic7
0.621454999875,83950.0,14,topic7
0.312149875936,122205.0,7,topic7
0.660790827403,109711.0,15,topic7
0.628160257714,119765.0,14,topic7
1.68700719781,404305.0,38,topic7
0.302389006572,199424.0,7,topic7
0.355305150986,49879.0,8,topic7
0.495670723601,89490.0,11,topic7
0.397356116243,537106.0,9,topic7
0.579546007684,442159.0,13,topic7
0.358658378498,63095.0,8,topic7
0.425824206089,76749.0,10,topic7
0.361892937644,57076.0,8,topic7
0.791537133191,156953.0,18,topic7
0.483202961332,78233.0,11,topic7
0.26265418233,51253.0,6,topic7
0.269025515941,78982.0,6,topic7
0.0869857661707,17860.0,2,topic7
0.258844287159,49286.0,6,topic7
0.265820172791,40356.0,6,topic7
0.218457548778,38921.0,5,topic7
0.397738227195,86245.0,9,topic7
0.172139680621,31125.0,4,topic7
0.218489581394,101807.0,5,topic7
0.30323282298,118002.0,7,topic7
0.214204941446,64602.0,5,topic7
0.174673862459,425388.0,4,topic7
0.306366917489,42020.0,7,topic7
0.412102595956,83967.0,9,topic7
0.486177525637,302039.14,11,topic7
0.863686441443,661906.49,19,topic7
0.809325419919,1324487.6,17,topic7
0.761894523539,668089.64,16,topic7
0.781319889659,1098253.51,17,topic7
0.269203783045,73005.0,6,topic7
0.360111961413,287696.0,8,topic7
0.320065285936,93918.0,7,topic7
0.531898801518,88529.0,12,topic7
0.0870905728608,5029.23,2,topic7
0.172621622289,682725.0,4,topic7
0.670381943662,123271.0,15,topic7
0.137700508809,21667.0,3,topic7
0.268883443383,464175.0,6,topic7
0.444327262229,292767.24,10,topic7
0.612809157032,151144.26,14,topic7
0.0,0.0,0,topic7
