Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
Birmingham City Council,2014,0.0239077465033,300.0,1,topic11
Birmingham City Council,2015,0.0282451074592,1500.0,1,topic11
Comic Relief ,2017,0.0248603965132,36446.0,1,topic11
Community Foundation serving Tyne & Wear and Northumberland,2015,0.29428149258,17355.0,9,topic11
Community Foundation serving Tyne & Wear and Northumberland,2016,0.146440785814,8215.0,4,topic11
Esmée Fairbairn Foundation,2015,0.028123944441,500000.0,1,topic11
Heart Of England Community Foundation,2017,0.0250993565761,2788.0,1,topic11
Oxfordshire Community Foundation,2015,0.0390727266309,500.0,1,topic11
Quartet Community Foundation,2016,0.0390727266309,350.0,1,topic11
Quartet Community Foundation,2017,0.0781454532618,1000.0,2,topic11
Quartet Community Foundation,2018,0.0390727266309,500.0,1,topic11
Somerset Community Foundation,2016,0.0236922253258,500.0,1,topic11
The Big Lottery Fund,2004,0.699153168388,86433.0,27,topic11
The Big Lottery Fund,2005,1.54928075818,291394.0,57,topic11
The Big Lottery Fund,2006,1.57850694763,562789.0,58,topic11
The Big Lottery Fund,2007,1.5751069553,408853.0,58,topic11
The Big Lottery Fund,2008,0.816549133152,265823.0,31,topic11
The Big Lottery Fund,2009,0.328540728918,68381.0,12,topic11
The Big Lottery Fund,2010,0.427314839668,104359.0,16,topic11
The Big Lottery Fund,2011,0.495838205187,118597.0,19,topic11
The Big Lottery Fund,2012,0.535310463268,422611.19,20,topic11
The Big Lottery Fund,2013,0.858732194635,236650.92,32,topic11
The Big Lottery Fund,2014,1.17332888734,225780.0,37,topic11
The Big Lottery Fund,2015,1.23927259093,311664.0,43,topic11
The Big Lottery Fund,2016,0.855871063503,576578.0,33,topic11
The Big Lottery Fund,2017,0.645094619739,197756.0,24,topic11
The Dulverton Trust,2005,0.0266564968392,2000.0,1,topic11
The Dulverton Trust,2006,0.0390727266309,2000.0,1,topic11
The Dulverton Trust,2007,0.0251477081717,1000.0,1,topic11
The Dulverton Trust,2010,0.0390727266309,2500.0,1,topic11
The Dulverton Trust,2013,0.0390727266309,75000.0,1,topic11
The Robertson Trust,2016,0.0390727266309,1500.0,1,topic11
True Colours Trust,2016,0.0781454532618,10000.0,2,topic11
Woodward Charitable Trust,1998,0.0390727266309,400.0,1,topic11
