DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0390727266309,400.0,1,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.0,0.0,0,topic11
0.355764694821,45875.0,14,topic11
0.127552848506,15704.0,5,topic11
0.215835625061,24854.0,8,topic11
0.216731805141,28075.0,8,topic11
0.355708884941,33850.0,13,topic11
0.340559716645,166029.0,12,topic11
0.662936848294,65440.0,25,topic11
0.561009287178,274330.0,20,topic11
0.452484762934,196350.0,17,topic11
0.319997637311,41947.0,12,topic11
0.284087986838,52162.0,10,topic11
0.410721596787,103307.0,15,topic11
0.371008709217,155690.0,14,topic11
0.500155182334,89736.0,19,topic11
0.318369175133,61120.0,11,topic11
0.0485677838186,5600.0,2,topic11
0.184530578471,30524.0,7,topic11
0.313094137498,190889.0,12,topic11
0.270356633365,38810.0,10,topic11
0.196857933343,41377.0,7,topic11
0.0240691300594,1400.0,1,topic11
0.0285845569199,4824.0,1,topic11
0.0790291085956,20780.0,3,topic11
0.081589082948,22439.0,3,topic11
0.113940597196,23934.0,4,topic11
0.128320922692,34082.0,5,topic11
0.142536963462,26404.0,5,topic11
0.163862559259,39852.0,6,topic11
0.0756239765457,19399.0,3,topic11
0.134382138778,24549.0,5,topic11
0.121969530604,34797.0,5,topic11
0.111270528357,315435.0,4,topic11
0.126039687818,28900.19,5,topic11
0.188448209032,49858.0,7,topic11
0.109552038061,28418.0,4,topic11
0.258051820757,139681.0,9,topic11
0.285644887021,82603.92,11,topic11
0.229897984263,43577.0,8,topic11
0.124210229225,45789.0,5,topic11
0.348137098927,67368.0,13,topic11
0.255260476349,54601.0,8,topic11
0.324444070883,48986.0,10,topic11
0.269394987684,55125.0,7,topic11
0.240701087563,51000.0,7,topic11
0.570558054012,117694.0,19,topic11
0.411710530686,82985.0,14,topic11
0.406026189777,579340.0,15,topic11
0.398848020578,410247.0,14,topic11
0.238795650253,35340.0,8,topic11
0.352225218983,99595.0,13,topic11
0.192426091352,51961.0,7,topic11
0.282876149294,96990.0,10,topic11
0.240282031146,68784.0,9,topic11
0.201272714715,52856.0,7,topic11
0.0487689309362,19360.0,2,topic11
0.0390727266309,500.0,1,topic11
