Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
BBC Children in Need,2015,0.0335778067059,85145.0,1,topic10
Co-operative Group,2017,0.0523212779596,2960.72,2,topic10
Comic Relief ,2015,0.0318514517964,85000.0,1,topic10
Community Foundation for Surrey,2016,0.0326101570444,5679.0,1,topic10
Community Foundation serving Tyne & Wear and Northumberland,2015,0.0289843043246,942.0,1,topic10
Community Foundation serving Tyne & Wear and Northumberland,2016,0.137174756361,10936.0,4,topic10
Community Foundation serving Tyne & Wear and Northumberland,2017,0.0679472943571,4703.0,2,topic10
Essex Community Foundation,2016,0.0291828476836,1395.0,1,topic10
Essex Community Foundation,2017,0.0292163111075,2000.0,1,topic10
Heart Of England Community Foundation,2017,0.0400878301468,500.0,1,topic10
Indigo Trust,2002,0.0259111523476,40000.0,1,topic10
Lloyd's Register Foundation,2011,0.026754243446,916510.0,1,topic10
Lloyd's Register Foundation,2015,0.0983111318516,1186128.0,3,topic10
Lloyds Bank Foundation for England and Wales,2010,0.0291548618615,2600.0,1,topic10
Lloyds Bank Foundation for England and Wales,2013,0.0297269326379,16700.0,1,topic10
Lloyds Bank Foundation for England and Wales,2014,0.0261919287464,21067.2,1,topic10
London Catalyst,2016,0.0328195552999,1500.0,1,topic10
Oxfordshire Community Foundation,2015,0.0400878301468,1471.5,1,topic10
Oxfordshire Community Foundation,2016,0.0580705628378,5683.0,2,topic10
Oxfordshire Community Foundation,2017,0.028625453403,1960.0,1,topic10
Quartet Community Foundation,2016,0.0278211617311,3000.0,1,topic10
Quixote Foundation,2004,0.0274061311865,30000.0,1,topic10
R S Macdonald Charitable Trust,2017,0.0348983153469,2865.0,1,topic10
Somerset Community Foundation,2016,0.0679730001332,7149.0,2,topic10
Sport England,2010,0.0814624335876,22119.0,3,topic10
Sport England,2011,0.107749527067,30550.0,4,topic10
Sport England,2012,0.05447611649,11091.0,2,topic10
Sport England,2013,0.080329996254,73771.0,3,topic10
Sport England,2014,0.0543922027742,13160.0,2,topic10
Sport England,2015,0.0543082890584,19822.0,2,topic10
Sport England,2016,0.0271541445292,6440.0,1,topic10
The Big Lottery Fund,2004,0.570398070244,77998.0,20,topic10
The Big Lottery Fund,2005,0.996012467397,426712.0,35,topic10
The Big Lottery Fund,2006,1.41445963465,494066.0,48,topic10
The Big Lottery Fund,2007,0.643360818705,350882.0,22,topic10
The Big Lottery Fund,2008,0.999876430387,328720.0,36,topic10
The Big Lottery Fund,2009,0.798251701202,1175434.0,28,topic10
The Big Lottery Fund,2010,0.86171089468,205887.0,30,topic10
The Big Lottery Fund,2011,0.631981326359,159987.0,22,topic10
The Big Lottery Fund,2012,0.515667836513,348720.5,19,topic10
The Big Lottery Fund,2013,0.452692485776,113033.0,15,topic10
The Big Lottery Fund,2014,1.49701922614,870338.33,45,topic10
The Big Lottery Fund,2015,1.13627557996,699837.77,36,topic10
The Big Lottery Fund,2016,0.382867425604,113745.0,14,topic10
The Big Lottery Fund,2017,0.456788312083,114421.0,15,topic10
The Blagrave Trust,2016,0.0292817297788,3933.0,1,topic10
The Clothworkers Foundation,2016,0.0603844005209,45000.0,2,topic10
The Dulverton Trust,2005,0.380947566721,111900.0,11,topic10
The Dulverton Trust,2006,0.181922544247,63000.0,6,topic10
The Dulverton Trust,2007,0.129738470836,55500.0,4,topic10
The Dulverton Trust,2008,0.0671639822185,55000.0,2,topic10
The Dulverton Trust,2009,0.194542216589,107900.0,6,topic10
The Dulverton Trust,2010,0.15308304574,42900.0,4,topic10
The Dulverton Trust,2011,0.189506182449,114500.0,5,topic10
The Dulverton Trust,2014,0.0400878301468,20000.0,1,topic10
The Dulverton Trust,2015,0.0674658549639,115000.0,2,topic10
The Dulverton Trust,2016,0.0400878301468,60000.0,1,topic10
The Dulverton Trust,2017,0.0801756602936,28000.0,2,topic10
The Robertson Trust,2015,0.13831482648,56500.0,4,topic10
The Robertson Trust,2017,0.0400878301468,30000.0,1,topic10
The Robertson Trust,2018,0.0270761520717,2500.0,1,topic10
True Colours Trust,2014,0.027839235904,150000.0,1,topic10
Woodward Charitable Trust,1998,0.0400878301468,5000.0,1,topic10
Woodward Charitable Trust,1999,0.0278022490303,8500.0,1,topic10
Woodward Charitable Trust,2002,0.0344593774979,500.0,1,topic10
Woodward Charitable Trust,2003,0.0344593774979,1500.0,1,topic10
Woodward Charitable Trust,2008,0.028583071705,2000.0,1,topic10
Woodward Charitable Trust,2011,0.0266577478902,1500.0,1,topic10
Woodward Charitable Trust,2014,0.0301879589859,1000.0,1,topic10
Woodward Charitable Trust,2015,0.0561649015747,1500.0,2,topic10
Woodward Charitable Trust,2016,0.0682682394106,2500.0,2,topic10
