Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
Barrow Cadbury Trust,2015,0.038277328441,3000.0,1,topic6
Birmingham City Council,2014,0.246684139055,4490.0,6,topic6
Birmingham City Council,2015,0.170308268966,3400.0,4,topic6
Birmingham City Council,2016,0.0434059067308,6500.0,1,topic6
Co-operative Group,2017,0.0717189338593,4438.2,2,topic6
Community Foundation for Surrey,2016,0.0921106822813,6000.0,2,topic6
Community Foundation for Surrey,2017,0.0359269278604,1000.0,1,topic6
Community Foundation serving Tyne & Wear and Northumberland,2015,0.0905160877529,2420.0,2,topic6
Community Foundation serving Tyne & Wear and Northumberland,2016,0.445414852415,14762.0,10,topic6
Community Foundation serving Tyne & Wear and Northumberland,2017,0.125270005376,9096.0,3,topic6
Essex Community Foundation,2016,0.0378413076847,6500.0,1,topic6
Essex Community Foundation,2017,0.0427620660313,7831.0,1,topic6
Essex Community Foundation,2018,0.0372265002482,2500.0,1,topic6
Heart Of England Community Foundation,2017,0.122849845266,6770.0,3,topic6
Lloyds Bank Foundation for England and Wales,2012,0.0335506407691,10000.0,1,topic6
London Catalyst,2012,0.0519511040418,1500.0,1,topic6
London Catalyst,2013,0.0519511040418,1500.0,1,topic6
London Catalyst,2014,0.0886991623404,3500.0,2,topic6
London Catalyst,2015,0.0519511040418,1000.0,1,topic6
London Catalyst,2017,0.103902208084,2000.0,2,topic6
Oxfordshire Community Foundation,2015,0.0392015503664,845.0,1,topic6
Paul Hamlyn Foundation,2006,0.0704767913983,7000.0,2,topic6
Paul Hamlyn Foundation,2013,0.0946743782395,1000000.0,2,topic6
Quartet Community Foundation,2016,0.12604538575,2289.0,3,topic6
Quartet Community Foundation,2017,0.123770611983,3663.0,3,topic6
Quixote Foundation,2005,0.0399293529382,3000.0,1,topic6
Scottish Council For Voluntary Organisations,2017,0.0519511040418,500.0,1,topic6
Sport England,2005,0.043575356178,5329.0,1,topic6
Sport England,2007,0.035401363624,220000.0,1,topic6
Sport England,2009,0.212767715399,23630.0,6,topic6
Sport England,2010,0.421952843613,64215.0,12,topic6
Sport England,2011,0.486998397862,74967.0,14,topic6
Sport England,2012,0.579518018112,101330.0,16,topic6
Sport England,2013,0.212767715399,48689.0,6,topic6
Sport England,2014,0.319151573099,58573.0,9,topic6
Sport England,2015,0.494730337707,102766.0,14,topic6
Sport England,2016,0.212767715399,40290.0,6,topic6
Sport England,2017,0.248229001299,48466.0,7,topic6
The Big Lottery Fund,2004,0.563511578716,81444.0,15,topic6
The Big Lottery Fund,2005,0.509712761243,298752.0,14,topic6
The Big Lottery Fund,2006,1.1408999762,122270.0,30,topic6
The Big Lottery Fund,2007,1.07862185165,210264.0,29,topic6
The Big Lottery Fund,2008,1.03252995315,189645.0,28,topic6
The Big Lottery Fund,2009,0.361328378107,85843.0,10,topic6
The Big Lottery Fund,2010,0.295314638519,37931.0,8,topic6
The Big Lottery Fund,2011,0.216970262054,34622.0,6,topic6
The Big Lottery Fund,2012,0.0676362532708,3811.0,2,topic6
The Big Lottery Fund,2013,0.455668427499,57822.0,12,topic6
The Big Lottery Fund,2014,5.2881318867,1137670.8,114,topic6
The Big Lottery Fund,2015,2.15251701973,679808.6,48,topic6
The Big Lottery Fund,2016,0.372639827044,94140.0,9,topic6
The Big Lottery Fund,2017,0.190221439491,41219.0,5,topic6
The Dulverton Trust,2005,0.0400132853149,2000.0,1,topic6
The Dulverton Trust,2007,0.0519511040418,2500.0,1,topic6
The Dulverton Trust,2009,0.0366594506672,2000.0,1,topic6
The Dulverton Trust,2010,0.0780430590748,4000.0,2,topic6
The Dulverton Trust,2011,0.0519511040418,3000.0,1,topic6
The Robertson Trust,2016,0.0892815051059,38000.0,2,topic6
The Robertson Trust,2017,0.088610554709,55000.0,2,topic6
The Wellcome Trust,2015,0.0519511040418,10000.0,1,topic6
Trafford Housing Trust Social Investment,2016,0.122152544077,20588.0,3,topic6
Trafford Housing Trust Social Investment,2017,0.0336374487451,500.0,1,topic6
Walcot Foundation,2012,0.0519511040418,5000.0,1,topic6
Wiltshire Community Foundation,2016,0.0408885909807,5000.0,1,topic6
Woodward Charitable Trust,2005,0.0519511040418,15000.0,1,topic6
Woodward Charitable Trust,2006,0.033701284449,2500.0,1,topic6
