Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-dulverton-006D000000MJrXS,the Young People's Project,the Young People's Project,2010-07-26T00:00:00+00:00,2500.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-dulverton-006D000000MJrGj,Towards work with young people,Towards work with young people,2006-07-26T00:00:00+00:00,2500.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031007535,Helston's Young People; It's all about us!,Not Available,2014-04-16,9105.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-dulverton-006D000000MJrEd,Towards its work with young people,Towards its work with young people,2006-02-02T00:00:00+00:00,4500.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031020780,Young People's Choice,Not Available,2015-03-26,4435.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-dulverton-006000000onCjn,Young People's Advisory Groups,Young People's Advisory Groups,2016-10-25T00:00:00+00:00,20000.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031011734,Young People Today (YPT),Not Available,2014-07-16,9981.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031012234,Young People Talent Connected,Not Available,2014-07-30,9984.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031018612,Young People Coming Together,Not Available,2015-01-28,5575.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-CFTyneWearNland-171757,Towards Enrichment for young people,Towards Enrichment for young people,2017-02-02T00:00:00+00:00,5150.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0433811390109
360G-CFTyneWearNland-171520,Towards Mentor a Mum and Young People's Support Project,Towards Mentor a Mum and Young People's Support Project,2017-03-24T00:00:00+00:00,9816.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0433811390109
360G-dulverton-006D000000MJrXv,the Young People's Project,the Young People's Project,2010-10-26T00:00:00+00:00,2500.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031020512,Upgrading support for young people with dyslexia in Ayrshire,Not Available,2015-03-24,7850.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-CFTyneWearNland-172080,Towards Young People's Filmmaking Residency,Towards Young People's Filmmaking Residency,2017-02-17T00:00:00+00:00,1865.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0433811390109
360G-CFTyneWearNland-171347,Towards Young People's Filmmaking Residency,Towards Young People's Filmmaking Residency,2017-01-31T00:00:00+00:00,1000.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0433811390109
360G-CFTyneWearNland-161070,Towards Young People's Cabinet,Towards Young People's Cabinet,2015-11-18T00:00:00+00:00,3060.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0433811390109
360G-dulverton-006D000000priy0,Support for Estranged Young People,Support for Estranged Young People,2017-02-15T00:00:00+00:00,30000.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031015602,Livelihoods for Young People in Sierra Leone,Not Available,2014-10-31,498183.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031013531,Equipping our Young People for Adulthood,Not Available,2014-09-03,9500.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031018981,The Woodlands Young People's Project,Not Available,2015-02-09,284065.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031043726,Celebrating Work With Young People In Martock,Celebrating Work With Young People In Martock,2016-12-19T00:00:00+00:00,4109.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031018697,1st Drumgooland - Connecting Young People,Not Available,2015-01-29,9933.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031012356,Sweet Suckcess for young people in Rhondda Cynon Taff,Not Available,2014-07-30,1855.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-dulverton-006D000000MJrIw,Towards work with young people,Towards work with young people,2007-02-06T00:00:00+00:00,2500.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blagravetrust-00658000007A0K9,Have your say young people's project,Feedback Fund 2016,2016-08-09T00:00:00+00:00,3950.0,GB-CHC-1164021,The Blagrave Trust,0.0433811390109
360G-dulverton-006D000000MJrIy,Towards work with disadvantagaed young people,Towards work with disadvantagaed young people,2007-02-06T00:00:00+00:00,2000.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031014393,Young people welcoming us to Crawcrook and Greenside,Not Available,2014-09-24,9800.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-dulverton-006D000000V3zAu,support of bereaved young people,support of bereaved young people,2014-02-25T00:00:00+00:00,10000.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-CR-1000636,The Cocoon Programme for young people ,The Cocoon Programme for young people ,2015-09-30T00:00:00+00:00,113565.0,GB-CHC-326568 ,Comic Relief ,0.0433811390109
360G-dulverton-006D000000MJrCZ,Towards the 'Out There' project for young people,Towards the 'Out There' project for young people,2005-07-20T00:00:00+00:00,2000.0,GB-COH-07991677,The Dulverton Trust,0.0433811390109
360G-blf-0031007209,Fit4Fun - Inspiring Young People,Not Available,2014-04-09,9850.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031047317,PROJECT Y - Young People Matter,PROJECT Y - Young People Matter,2017-03-22T00:00:00+00:00,498513.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-blf-0031014870,Our Young People - Bridging the Gaps,Not Available,2014-10-06,265364.0,360G-blf,The Big Lottery Fund,0.0433811390109
360G-CR-1897889,Young people as community builders ,Young people as community builders ,2016-07-13T00:00:00+00:00,49510.0,GB-CHC-326568 ,Comic Relief ,0.0365704800656
