,index,DocumentWeight,Amount Awarded,Identifier,Topic
0,1997-03-01,0.0,0.0,0,topic0
1,1997-04-01,0.0,0.0,0,topic0
2,1997-05-01,0.0,0.0,0,topic0
3,1997-06-01,0.0,0.0,0,topic0
4,1997-07-01,0.0,0.0,0,topic0
5,1997-08-01,0.0,0.0,0,topic0
6,1997-09-01,0.0,0.0,0,topic0
7,1997-10-01,0.0,0.0,0,topic0
8,1997-11-01,0.0,0.0,0,topic0
9,1997-12-01,0.0,0.0,0,topic0
10,1998-01-01,0.0,0.0,0,topic0
11,1998-02-01,0.0,0.0,0,topic0
12,1998-03-01,0.0,0.0,0,topic0
13,1998-04-01,0.0,0.0,0,topic0
14,1998-05-01,0.0,0.0,0,topic0
15,1998-06-01,0.0,0.0,0,topic0
16,1998-07-01,0.0,0.0,0,topic0
17,1998-08-01,0.0,0.0,0,topic0
18,1998-09-01,0.0,0.0,0,topic0
19,1998-10-01,0.0,0.0,0,topic0
20,1998-11-01,0.0,0.0,0,topic0
21,1998-12-01,0.0,0.0,0,topic0
22,1999-01-01,0.0,0.0,0,topic0
23,1999-02-01,0.0,0.0,0,topic0
24,1999-03-01,0.0,0.0,0,topic0
25,1999-04-01,0.0,0.0,0,topic0
26,1999-05-01,0.0,0.0,0,topic0
27,1999-06-01,0.0,0.0,0,topic0
28,1999-07-01,0.0,0.0,0,topic0
29,1999-08-01,0.0,0.0,0,topic0
30,1999-09-01,0.0,0.0,0,topic0
31,1999-10-01,0.0,0.0,0,topic0
32,1999-11-01,0.0,0.0,0,topic0
33,1999-12-01,0.0939240370583,52000.0,2,topic0
34,2000-01-01,0.0,0.0,0,topic0
35,2000-02-01,0.0,0.0,0,topic0
36,2000-03-01,0.0,0.0,0,topic0
37,2000-04-01,0.0,0.0,0,topic0
38,2000-05-01,0.0,0.0,0,topic0
39,2000-06-01,0.0,0.0,0,topic0
40,2000-07-01,0.140643918588,68750.0,3,topic0
41,2000-08-01,0.0,0.0,0,topic0
42,2000-09-01,0.0467846526899,30000.0,1,topic0
43,2000-10-01,0.0,0.0,0,topic0
44,2000-11-01,0.0,0.0,0,topic0
45,2000-12-01,0.0938592658978,3500.0,2,topic0
46,2001-01-01,0.0467846526899,25000.0,1,topic0
47,2001-02-01,0.0,0.0,0,topic0
48,2001-03-01,0.0,0.0,0,topic0
49,2001-04-01,0.140998650266,305000.0,3,topic0
50,2001-05-01,0.0462232810145,12500.0,1,topic0
51,2001-06-01,0.0,0.0,0,topic0
52,2001-07-01,0.0,0.0,0,topic0
53,2001-08-01,0.0467846526899,28100.0,1,topic0
54,2001-09-01,0.0470746132079,10000.0,1,topic0
55,2001-10-01,0.0466463951613,66000.0,1,topic0
56,2001-11-01,0.0,0.0,0,topic0
57,2001-12-01,0.0,0.0,0,topic0
58,2002-01-01,0.0,0.0,0,topic0
59,2002-02-01,0.0,0.0,0,topic0
60,2002-03-01,0.0,0.0,0,topic0
61,2002-04-01,0.0,0.0,0,topic0
62,2002-05-01,0.0,0.0,0,topic0
63,2002-06-01,0.0,0.0,0,topic0
64,2002-07-01,0.0,0.0,0,topic0
65,2002-08-01,0.0,0.0,0,topic0
66,2002-09-01,0.0,0.0,0,topic0
67,2002-10-01,0.0941492264158,15600.0,2,topic0
68,2002-11-01,0.0466463951613,14262.0,1,topic0
69,2002-12-01,0.0,0.0,0,topic0
70,2003-01-01,0.0,0.0,0,topic0
71,2003-02-01,0.0,0.0,0,topic0
72,2003-03-01,0.0,0.0,0,topic0
73,2003-04-01,0.0,0.0,0,topic0
74,2003-05-01,0.0,0.0,0,topic0
75,2003-06-01,0.0,0.0,0,topic0
76,2003-07-01,0.0939240370583,101490.0,2,topic0
77,2003-08-01,0.0470746132079,15000.0,1,topic0
78,2003-09-01,0.0938592658978,57525.0,2,topic0
79,2003-10-01,0.0,0.0,0,topic0
80,2003-11-01,0.0,0.0,0,topic0
81,2003-12-01,0.0931314022807,105000.0,2,topic0
82,2004-01-01,0.0,0.0,0,topic0
83,2004-02-01,0.0,0.0,0,topic0
84,2004-03-01,0.0935596203273,120372.0,2,topic0
85,2004-04-01,0.0,0.0,0,topic0
86,2004-05-01,0.607219385908,48650.0,13,topic0
87,2004-06-01,0.327173553154,277025.0,7,topic0
88,2004-07-01,0.704058598616,97470.0,15,topic0
89,2004-08-01,0.561470097642,38141.0,12,topic0
90,2004-09-01,0.280325099148,38667.0,6,topic0
91,2004-10-01,0.889626877874,133936.0,19,topic0
92,2004-11-01,0.982209234994,847158.0,21,topic0
93,2004-12-01,0.888562682838,485187.0,19,topic0
94,2005-01-01,0.281642568854,58921.0,6,topic0
95,2005-02-01,0.280678860982,22357.0,6,topic0
96,2005-03-01,0.141288610784,14430.0,3,topic0
97,2005-04-01,0.328288964015,78997.0,7,topic0
98,2005-05-01,0.984442808054,1135478.0,21,topic0
99,2005-06-01,0.375137418021,27684.0,8,topic0
100,2005-07-01,1.03057889347,1103708.0,22,topic0
101,2005-08-01,0.936626885768,64859.0,20,topic0
102,2005-09-01,0.468007094197,277587.0,10,topic0
103,2005-10-01,0.140147318073,106882.0,3,topic0
104,2005-11-01,1.26533896393,3464943.0,27,topic0
105,2005-12-01,0.46937454611,265606.0,10,topic0
106,2006-01-01,0.609032596158,55285.0,13,topic0
107,2006-02-01,0.27998891683,25805.0,6,topic0
108,2006-03-01,0.607936594628,99525.0,13,topic0
109,2006-04-01,0.0937210083692,34426.0,2,topic0
110,2006-05-01,0.280706655901,275213.0,6,topic0
111,2006-06-01,0.187783302956,23831.0,4,topic0
112,2006-07-01,0.188008492314,39423.0,4,topic0
113,2006-08-01,0.0938592658978,59024.0,2,topic0
114,2006-09-01,0.233775320868,45805.0,5,topic0
115,2006-10-01,0.0464850071194,2500.0,1,topic0
116,2006-11-01,0.0470746132079,397371.0,1,topic0
117,2006-12-01,0.467726818731,314365.0,10,topic0
118,2007-01-01,0.422213001074,41227.0,9,topic0
119,2007-02-01,0.235083105522,31603.0,5,topic0
120,2007-03-01,0.280914705237,1934435.0,6,topic0
121,2007-04-01,0.0942139975763,13185.0,2,topic0
122,2007-05-01,0.0935693053798,19370.0,2,topic0
123,2007-06-01,0.0938592658978,8528.0,2,topic0
124,2007-07-01,0.0470746132079,83000.0,1,topic0
125,2007-08-01,0.0,0.0,0,topic0
126,2007-09-01,0.0464850071194,9345.0,1,topic0
127,2007-10-01,0.0938592658978,700.0,2,topic0
128,2007-11-01,0.0938592658978,64386.0,2,topic0
129,2007-12-01,0.0,0.0,0,topic0
130,2008-01-01,0.0470746132079,2250.0,1,topic0
131,2008-02-01,0.0,0.0,0,topic0
132,2008-03-01,0.0,0.0,0,topic0
133,2008-04-01,0.0467846526899,20000.0,1,topic0
134,2008-05-01,0.0470746132079,13000.0,1,topic0
135,2008-06-01,0.0,0.0,0,topic0
136,2008-07-01,0.0,0.0,0,topic0
137,2008-08-01,0.0,0.0,0,topic0
138,2008-09-01,0.0,0.0,0,topic0
139,2008-10-01,0.0462232810145,92263.0,1,topic0
140,2008-11-01,0.0,0.0,0,topic0
141,2008-12-01,0.0462232810145,180000.0,1,topic0
142,2009-01-01,0.0931314022807,201707.0,2,topic0
143,2009-02-01,0.0467846526899,95540.0,1,topic0
144,2009-03-01,0.0471393843684,8000.0,1,topic0
145,2009-04-01,0.140643918588,11975.0,3,topic0
146,2009-05-01,0.0464850071194,2500.0,1,topic0
147,2009-06-01,0.0,0.0,0,topic0
148,2009-07-01,0.0,0.0,0,topic0
149,2009-08-01,0.0,0.0,0,topic0
150,2009-09-01,0.140643918588,150000.0,3,topic0
151,2009-10-01,0.0938592658978,4000.0,2,topic0
152,2009-11-01,0.187783302956,53089.0,4,topic0
153,2009-12-01,0.0,0.0,0,topic0
154,2010-01-01,0.0938592658978,36000.0,2,topic0
155,2010-02-01,0.0,0.0,0,topic0
156,2010-03-01,0.0932696598093,155322.0,2,topic0
157,2010-04-01,0.0934310478512,510000.0,2,topic0
158,2010-05-01,0.187718531796,33000.0,4,topic0
159,2010-06-01,0.140933879106,44000.0,3,topic0
160,2010-07-01,0.0941492264158,107500.0,2,topic0
161,2010-08-01,0.0,0.0,0,topic0
162,2010-09-01,0.0467846526899,9952.0,1,topic0
