Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0031016441,Aisling Centre - Reaching Out,Not Available,2014-11-20,9999.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-LBFEW-87392,Grant to Swan Womens Centre,"rent, heat and light",2011-05-31,17000.0,GB-CHC-327114,Lloyds Bank Foundation for England and Wales,0.0603268064012
360G-LondonCatalyst-1230062400000btzY6AAI,Hackney Migrant Centre - 8,Destitution Coordinator,2017-12-07T00:00:00+00:00,5000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000Rog16AAB,Hackney Migrant Centre - 7,Hardship Fund,2017-02-07T00:00:00+00:00,2000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000DxijtAAB,Hackney Migrant Centre - 6,Hardship Fund,2016-02-03T00:00:00+00:00,2000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000DxijsAAB,Hackney Migrant Centre - 5,Hardship Fund,2014-09-17T00:00:00+00:00,1000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000DxijrAAB,Hackney Migrant Centre - 4,Hardship Fund,2014-02-19T00:00:00+00:00,2000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000DxijqAAB,Hackney Migrant Centre - 3,Hardship Fund,2013-02-20T00:00:00+00:00,2000.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-LondonCatalyst-1230062400000DxijpAAB,Hackney Migrant Centre - 2,Hardship Fund,2012-07-01T00:00:00+00:00,1500.0,GB-CHC-1066739,London Catalyst,0.0603268064012
360G-Walcot-0068000000xEaHnAAK,Kings Avenue EFT - Kingswood Centre - IoW,Kings Avenue EFT - Kingswood Centre - IoW,2015-12-15T00:00:00+00:00,6105.0,GB-CHC-312800,Walcot Foundation,0.0603268064012
360G-blf-0031027925,A Maritime Centre called 'Harbourside',A Maritime Centre called 'Harbourside',2015-10-20T00:00:00+00:00,49974.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031019276,A rehabilitation centre for Skye & Lochalsh,Not Available,2015-02-18,9248.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031007337,The Grimsay Centre,Not Available,2014-04-14,8100.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031015249,The MASH Centre,Not Available,2014-10-21,434293.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031040369,A Maritime Centre called 'Harbourside',A Maritime Centre called 'Harbourside',2016-10-05T00:00:00+00:00,1100000.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031030869,Tabor Centre,Tabor Centre,2016-01-27T00:00:00+00:00,499969.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-QuartetCF-A430959,Grant to Crisis Centre Ministries,As requested by the fundholders.,2016-12-09T00:00:00+00:00,1250.0,GB-CHC-1080418,Quartet Community Foundation,0.0603268064012
360G-CR-732416,Nightingale Crisis Centre - 24/7 Intensive Support ,Nightingale Crisis Centre - 24/7 Intensive Support ,2015-03-18T00:00:00+00:00,74021.0,GB-CHC-326568 ,Comic Relief ,0.0603268064012
360G-dulverton-006D000000MJrPM,the Thurso Centre redevelopment,the Thurso Centre redevelopment,2008-07-23T00:00:00+00:00,20000.0,GB-COH-07991677,The Dulverton Trust,0.0603268064012
360G-blf-0031045126,The Maxwelltown Information Centre,The Maxwelltown Information Centre,2017-02-02T00:00:00+00:00,135262.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-blf-0031024436,The Norbury Centre,The Norbury Centre,2015-07-15T00:00:00+00:00,5000.0,360G-blf,The Big Lottery Fund,0.0603268064012
360G-RobertsonTrust-006b000000JMRzVAAX,The Broomhouse Centre and Enterprises,The Broomhouse Centre and Enterprises,2017-01-31T00:00:00+00:00,250000.0,GB-SC-SC002970,The Robertson Trust,0.0603268064012
360G-RobertsonTrust-006b000000DVV9aAAH,Development of the Glencorse Centre,Development of the Glencorse Centre,2015-07-29T00:00:00+00:00,4500.0,GB-SC-SC002970,The Robertson Trust,0.0603268064012
360G-JRT-2174,Kilkenny Christian Centre,To part fund the Centre property scheme,2017-05-04T00:00:00+00:00,17000.0,GB-CHC-1093844,The Joseph Rank Trust,0.0603268064012
