DocumentWeight,Amount Awarded,Identifier,Topic
0.0328975944986,18050.0,1,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.114349216169,8000.0,3,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0407258108352,20000.0,1,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0,0.0,0,topic8
0.0718741162264,195659.0,2,topic8
0.0,0.0,0,topic8
0.0407258108352,54150.0,1,topic8
0.147246810668,9786.0,4,topic8
0.0328975944986,2000.0,1,topic8
0.0328975944986,3000.0,1,topic8
0.147854449371,25500.0,4,topic8
0.0657951889972,10000.0,2,topic8
0.0,0.0,0,topic8
0.0324763848476,53043.0,1,topic8
0.0328975944986,6500.0,1,topic8
0.0736234053338,31000.0,2,topic8
0.179947653214,79915.0,5,topic8
0.0736234053338,4500.0,2,topic8
0.0407258108352,1500.0,1,topic8
0.173686256456,62999.0,5,topic8
0.0993184786155,17050.0,3,topic8
0.0328975944986,5000.0,1,topic8
0.0328975944986,5000.0,1,topic8
0.148013953958,287999.0,4,topic8
0.196472434533,134071.0,5,topic8
0.171348213166,259818.0,5,topic8
0.115020812863,211317.0,3,topic8
0.281777862446,178200.0,8,topic8
0.305771651108,214300.0,9,topic8
0.374937921814,315807.0,11,topic8
1.20111827735,903900.0,34,topic8
0.437062495595,274300.0,12,topic8
0.575910919119,404700.0,16,topic8
0.535364640667,909420.0,15,topic8
0.276548077217,247550.0,8,topic8
0.320459722949,210400.0,9,topic8
0.653415723166,345300.0,18,topic8
0.429051336765,248600.0,12,topic8
0.356309068364,254200.0,10,topic8
0.114349216169,6000.0,3,topic8
0.0666247703222,1800.0,2,topic8
0.0407258108352,2500.0,1,topic8
0.0,0.0,0,topic8
0.0657951889972,6000.0,2,topic8
0.10735617239,175000.0,3,topic8
0.0371873126875,3160.0,1,topic8
0.0979317696497,108100.0,3,topic8
0.327560180027,160500.0,9,topic8
0.894988721642,404502.0,24,topic8
0.7446886484,545773.0,21,topic8
0.698087762531,473241.54,19,topic8
0.550951142109,518500.0,16,topic8
0.618066944341,343750.0,17,topic8
0.683413477636,791500.0,19,topic8
0.671289025668,360600.0,19,topic8
1.10022949188,794700.0,31,topic8
0.472639746242,428000.0,13,topic8
1.30048005586,1371500.0,36,topic8
0.805367397861,548924.0,22,topic8
0.669379216676,553465.0,19,topic8
