index,DocumentWeight,Amount Awarded,Identifier,Topic
1997-09-01,0.0,0.0,0,topic6
1997-10-01,0.0,0.0,0,topic6
1997-11-01,0.0,0.0,0,topic6
1997-12-01,0.0,0.0,0,topic6
1998-01-01,0.0,0.0,0,topic6
1998-02-01,0.0,0.0,0,topic6
1998-03-01,0.0,0.0,0,topic6
1998-04-01,0.0,0.0,0,topic6
1998-05-01,0.0,0.0,0,topic6
1998-06-01,0.0,0.0,0,topic6
1998-07-01,0.0,0.0,0,topic6
1998-08-01,0.0,0.0,0,topic6
1998-09-01,0.0,0.0,0,topic6
1998-10-01,0.0,0.0,0,topic6
1998-11-01,0.0,0.0,0,topic6
1998-12-01,0.0,0.0,0,topic6
1999-01-01,0.0,0.0,0,topic6
1999-02-01,0.0,0.0,0,topic6
1999-03-01,0.0,0.0,0,topic6
1999-04-01,0.0,0.0,0,topic6
1999-05-01,0.0,0.0,0,topic6
1999-06-01,0.0,0.0,0,topic6
1999-07-01,0.0,0.0,0,topic6
1999-08-01,0.0,0.0,0,topic6
1999-09-01,0.0,0.0,0,topic6
1999-10-01,0.0,0.0,0,topic6
1999-11-01,0.0,0.0,0,topic6
1999-12-01,0.0,0.0,0,topic6
2000-01-01,0.0,0.0,0,topic6
2000-02-01,0.0,0.0,0,topic6
2000-03-01,0.0,0.0,0,topic6
2000-04-01,0.0,0.0,0,topic6
2000-05-01,0.0,0.0,0,topic6
2000-06-01,0.0,0.0,0,topic6
2000-07-01,0.0,0.0,0,topic6
2000-08-01,0.0,0.0,0,topic6
2000-09-01,0.0,0.0,0,topic6
2000-10-01,0.0,0.0,0,topic6
2000-11-01,0.0,0.0,0,topic6
2000-12-01,0.0,0.0,0,topic6
2001-01-01,0.0,0.0,0,topic6
2001-02-01,0.0,0.0,0,topic6
2001-03-01,0.0,0.0,0,topic6
2001-04-01,0.0,0.0,0,topic6
2001-05-01,0.0,0.0,0,topic6
2001-06-01,0.0,0.0,0,topic6
2001-07-01,0.0,0.0,0,topic6
2001-08-01,0.0,0.0,0,topic6
2001-09-01,0.0,0.0,0,topic6
2001-10-01,0.0,0.0,0,topic6
2001-11-01,0.0,0.0,0,topic6
2001-12-01,0.0,0.0,0,topic6
2002-01-01,0.0,0.0,0,topic6
2002-02-01,0.0,0.0,0,topic6
2002-03-01,0.0,0.0,0,topic6
2002-04-01,0.0,0.0,0,topic6
2002-05-01,0.0,0.0,0,topic6
2002-06-01,0.0,0.0,0,topic6
2002-07-01,0.0,0.0,0,topic6
2002-08-01,0.0,0.0,0,topic6
2002-09-01,0.0,0.0,0,topic6
2002-10-01,0.0,0.0,0,topic6
2002-11-01,0.0,0.0,0,topic6
2002-12-01,0.0,0.0,0,topic6
2003-01-01,0.0,0.0,0,topic6
2003-02-01,0.0,0.0,0,topic6
2003-03-01,0.0,0.0,0,topic6
2003-04-01,0.0,0.0,0,topic6
2003-05-01,0.0,0.0,0,topic6
2003-06-01,0.0,0.0,0,topic6
2003-07-01,0.0,0.0,0,topic6
2003-08-01,0.0,0.0,0,topic6
2003-09-01,0.0,0.0,0,topic6
2003-10-01,0.0,0.0,0,topic6
2003-11-01,0.0,0.0,0,topic6
2003-12-01,0.0,0.0,0,topic6
2004-01-01,0.0,0.0,0,topic6
2004-02-01,0.0,0.0,0,topic6
2004-03-01,0.0,0.0,0,topic6
2004-04-01,0.106982439421,9848.0,3,topic6
2004-05-01,0.0,0.0,0,topic6
2004-06-01,0.0384017918344,840.0,1,topic6
2004-07-01,0.110200907643,10517.0,3,topic6
2004-08-01,0.0,0.0,0,topic6
2004-09-01,0.044995577481,1600.0,1,topic6
2004-10-01,0.0,0.0,0,topic6
2004-11-01,0.189949553661,53634.0,5,topic6
2004-12-01,0.0729813086748,5005.0,2,topic6
2005-01-01,0.0399293529382,3000.0,1,topic6
2005-02-01,0.0390170275127,3790.0,1,topic6
2005-03-01,0.073099608738,251078.0,2,topic6
2005-04-01,0.0,0.0,0,topic6
2005-05-01,0.0519511040418,15000.0,1,topic6
2005-06-01,0.120030755572,9556.0,3,topic6
2005-07-01,0.0339621465195,5000.0,1,topic6
2005-08-01,0.0787359707553,9880.0,2,topic6
2005-09-01,0.0668628507072,8577.0,2,topic6
2005-10-01,0.0400132853149,2000.0,1,topic6
2005-11-01,0.0706702716761,6200.0,2,topic6
2005-12-01,0.0709094859398,10000.0,2,topic6
2006-01-01,0.103409290542,11046.0,3,topic6
2006-02-01,0.0335278253707,5000.0,1,topic6
2006-03-01,0.162052616401,16806.0,4,topic6
2006-04-01,0.085973654653,7100.0,2,topic6
2006-05-01,0.0335394807363,5000.0,1,topic6
2006-06-01,0.073544828051,5565.0,2,topic6
2006-07-01,0.1189616809,14599.0,3,topic6
2006-08-01,0.0713333194242,5788.0,2,topic6
2006-09-01,0.0794742930556,6252.0,2,topic6
2006-10-01,0.114151113579,10500.0,3,topic6
2006-11-01,0.177770952811,20153.0,5,topic6
2006-12-01,0.191338996522,23961.0,5,topic6
2007-01-01,0.0390504603997,2758.0,1,topic6
2007-02-01,0.197313175896,43512.0,5,topic6
2007-03-01,0.145257028771,14737.0,4,topic6
2007-04-01,0.0370228532983,9996.0,1,topic6
2007-05-01,0.0711338657343,13073.0,2,topic6
2007-06-01,0.141921095641,31182.0,4,topic6
2007-07-01,0.10799610368,18383.0,3,topic6
2007-08-01,0.11770347664,26208.0,3,topic6
2007-09-01,0.0742002838572,229444.0,2,topic6
2007-10-01,0.0871794696483,12382.0,2,topic6
2007-11-01,0.0,0.0,0,topic6
2007-12-01,0.147196505747,31089.0,4,topic6
2008-01-01,0.148307754533,27061.0,4,topic6
2008-02-01,0.108866624264,24456.0,3,topic6
2008-03-01,0.0422993063678,6645.0,1,topic6
2008-04-01,0.0376870327935,10000.0,1,topic6
2008-05-01,0.0,0.0,0,topic6
2008-06-01,0.142790025841,32662.0,4,topic6
2008-07-01,0.0707816308934,12070.0,2,topic6
2008-08-01,0.110044550527,17557.0,3,topic6
2008-09-01,0.116554824121,21262.0,3,topic6
2008-10-01,0.147638986462,21015.0,4,topic6
