Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
Cheshire Community Foundation,2016,0.129082908276,7316.23,3,topic7
Co-operative Group,2017,0.395216641323,19563.5,9,topic7
Community Foundation for Surrey,2017,0.0500558302965,1670.0,1,topic7
Community Foundation serving Tyne & Wear and Northumberland,2015,0.140529948112,8315.0,3,topic7
Community Foundation serving Tyne & Wear and Northumberland,2016,0.0963149960454,3631.0,2,topic7
Essex Community Foundation,2016,0.0447340101741,6000.0,1,topic7
London Catalyst,2013,0.045237058908,750.0,1,topic7
London Catalyst,2014,0.090474117816,2250.0,2,topic7
London Catalyst,2016,0.045237058908,1500.0,1,topic7
London Catalyst,2017,0.045237058908,1500.0,1,topic7
Nesta,2017,0.045237058908,239588.0,1,topic7
Northern Rock Foundation,2002,0.0420428039067,6437.0,1,topic7
Northern Rock Foundation,2006,0.0840553918123,11975.0,2,topic7
Oxfordshire Community Foundation,2015,0.0931948429716,2720.0,2,topic7
Quartet Community Foundation,2016,0.0492807360408,4000.0,1,topic7
Sport England,2012,0.174340353313,154120.0,4,topic7
Sport England,2013,0.0425781395735,30000.0,1,topic7
Sport England,2014,0.088588149187,110900.0,2,topic7
Sport England,2017,0.0430545638638,50000.0,1,topic7
The Big Lottery Fund,2004,0.26003141122,69715.0,6,topic7
The Big Lottery Fund,2005,0.519313234517,341602.0,12,topic7
The Big Lottery Fund,2006,2.30018550655,253798.0,52,topic7
The Big Lottery Fund,2007,3.19379707896,750486.0,72,topic7
The Big Lottery Fund,2008,1.5507209974,875899.0,35,topic7
The Big Lottery Fund,2009,1.72592152992,639079.0,39,topic7
The Big Lottery Fund,2010,1.80641979279,365421.0,41,topic7
The Big Lottery Fund,2011,0.830107774898,146423.0,19,topic7
The Big Lottery Fund,2012,0.917259958876,183059.0,21,topic7
The Big Lottery Fund,2013,1.01953311887,585227.0,23,topic7
The Big Lottery Fund,2014,2.74202164353,2843372.87,59,topic7
The Big Lottery Fund,2015,1.45173907006,1531837.51,32,topic7
The Big Lottery Fund,2016,1.00920506397,835107.0,23,topic7
The Big Lottery Fund,2017,0.795653424243,599432.0,18,topic7
The Dulverton Trust,2005,0.0500558302965,1000.0,1,topic7
The Dulverton Trust,2007,0.0943110799061,5500.0,2,topic7
The Dulverton Trust,2015,0.045237058908,10000.0,1,topic7
The Robertson Trust,2017,0.0892657939106,18000.0,2,topic7
Wiltshire Community Foundation,2016,0.0429011080047,2000.0,1,topic7
Wolfson Foundation,2016,0.045237058908,40000.0,1,topic7
Woodward Charitable Trust,1999,0.0500558302965,3000.0,1,topic7
