index,DocumentWeight,Amount Awarded,Identifier,Topic
1997-09-01,0.0,0.0,0,topic7
1997-10-01,0.0,0.0,0,topic7
1997-11-01,0.0,0.0,0,topic7
1997-12-01,0.0,0.0,0,topic7
1998-01-01,0.0,0.0,0,topic7
1998-02-01,0.0,0.0,0,topic7
1998-03-01,0.0,0.0,0,topic7
1998-04-01,0.0,0.0,0,topic7
1998-05-01,0.0,0.0,0,topic7
1998-06-01,0.0,0.0,0,topic7
1998-07-01,0.0,0.0,0,topic7
1998-08-01,0.0,0.0,0,topic7
1998-09-01,0.0,0.0,0,topic7
1998-10-01,0.0,0.0,0,topic7
1998-11-01,0.0,0.0,0,topic7
1998-12-01,0.0,0.0,0,topic7
1999-01-01,0.0,0.0,0,topic7
1999-02-01,0.0,0.0,0,topic7
1999-03-01,0.0,0.0,0,topic7
1999-04-01,0.0,0.0,0,topic7
1999-05-01,0.0,0.0,0,topic7
1999-06-01,0.0,0.0,0,topic7
1999-07-01,0.0,0.0,0,topic7
1999-08-01,0.0,0.0,0,topic7
1999-09-01,0.0,0.0,0,topic7
1999-10-01,0.0500558302965,3000.0,1,topic7
1999-11-01,0.0,0.0,0,topic7
1999-12-01,0.0,0.0,0,topic7
2000-01-01,0.0,0.0,0,topic7
2000-02-01,0.0,0.0,0,topic7
2000-03-01,0.0,0.0,0,topic7
2000-04-01,0.0,0.0,0,topic7
2000-05-01,0.0,0.0,0,topic7
2000-06-01,0.0,0.0,0,topic7
2000-07-01,0.0,0.0,0,topic7
2000-08-01,0.0,0.0,0,topic7
2000-09-01,0.0,0.0,0,topic7
2000-10-01,0.0,0.0,0,topic7
2000-11-01,0.0,0.0,0,topic7
2000-12-01,0.0,0.0,0,topic7
2001-01-01,0.0,0.0,0,topic7
2001-02-01,0.0,0.0,0,topic7
2001-03-01,0.0,0.0,0,topic7
2001-04-01,0.0,0.0,0,topic7
2001-05-01,0.0,0.0,0,topic7
2001-06-01,0.0,0.0,0,topic7
2001-07-01,0.0,0.0,0,topic7
2001-08-01,0.0,0.0,0,topic7
2001-09-01,0.0,0.0,0,topic7
2001-10-01,0.0,0.0,0,topic7
2001-11-01,0.0,0.0,0,topic7
2001-12-01,0.0,0.0,0,topic7
2002-01-01,0.0,0.0,0,topic7
2002-02-01,0.0,0.0,0,topic7
2002-03-01,0.0,0.0,0,topic7
2002-04-01,0.0,0.0,0,topic7
2002-05-01,0.0,0.0,0,topic7
2002-06-01,0.0420428039067,6437.0,1,topic7
2002-07-01,0.0,0.0,0,topic7
2002-08-01,0.0,0.0,0,topic7
2002-09-01,0.0,0.0,0,topic7
2002-10-01,0.0,0.0,0,topic7
2002-11-01,0.0,0.0,0,topic7
2002-12-01,0.0,0.0,0,topic7
2003-01-01,0.0,0.0,0,topic7
2003-02-01,0.0,0.0,0,topic7
2003-03-01,0.0,0.0,0,topic7
2003-04-01,0.0,0.0,0,topic7
2003-05-01,0.0,0.0,0,topic7
2003-06-01,0.0,0.0,0,topic7
2003-07-01,0.0,0.0,0,topic7
2003-08-01,0.0,0.0,0,topic7
2003-09-01,0.0,0.0,0,topic7
2003-10-01,0.0,0.0,0,topic7
2003-11-01,0.0,0.0,0,topic7
2003-12-01,0.0,0.0,0,topic7
2004-01-01,0.0,0.0,0,topic7
2004-02-01,0.0,0.0,0,topic7
2004-03-01,0.0,0.0,0,topic7
2004-04-01,0.0,0.0,0,topic7
2004-05-01,0.0862156246027,55000.0,2,topic7
2004-06-01,0.0442099834005,5000.0,1,topic7
2004-07-01,0.0425847678519,5000.0,1,topic7
2004-08-01,0.0420456622811,2000.0,1,topic7
2004-09-01,0.0,0.0,0,topic7
2004-10-01,0.0449753730835,2715.0,1,topic7
2004-11-01,0.0,0.0,0,topic7
2004-12-01,0.0,0.0,0,topic7
2005-01-01,0.0861564143391,91000.0,2,topic7
2005-02-01,0.0,0.0,0,topic7
2005-03-01,0.0,0.0,0,topic7
2005-04-01,0.0881016936662,10000.0,2,topic7
2005-05-01,0.0,0.0,0,topic7
2005-06-01,0.0,0.0,0,topic7
2005-07-01,0.129350107752,141595.0,3,topic7
2005-08-01,0.0,0.0,0,topic7
2005-09-01,0.0440289708331,34007.0,1,topic7
2005-10-01,0.0944875034754,51000.0,2,topic7
2005-11-01,0.0418766955727,5000.0,1,topic7
2005-12-01,0.085367679174,10000.0,2,topic7
2006-01-01,0.263054084065,26432.0,6,topic7
2006-02-01,0.171458340151,19027.0,4,topic7
2006-03-01,0.57724116711,53660.0,13,topic7
2006-04-01,0.0437654657184,4700.0,1,topic7
2006-05-01,0.0925465472917,8866.0,2,topic7
2006-06-01,0.0433415376108,5000.0,1,topic7
2006-07-01,0.0853374323582,11667.0,2,topic7
2006-08-01,0.354852042876,36301.0,8,topic7
2006-09-01,0.13118928131,16170.0,3,topic7
2006-10-01,0.26133109997,31071.0,6,topic7
2006-11-01,0.0943944353361,15710.0,2,topic7
2006-12-01,0.265729464569,37169.0,6,topic7
2007-01-01,0.0,0.0,0,topic7
2007-02-01,0.270695811895,112205.0,6,topic7
2007-03-01,0.0414540640411,10000.0,1,topic7
2007-04-01,0.257959962264,47950.0,6,topic7
2007-05-01,0.360866118011,51761.0,8,topic7
2007-06-01,0.0419647471286,10000.0,1,topic7
2007-07-01,0.233104354597,16313.0,5,topic7
2007-08-01,0.308743408181,89221.0,7,topic7
2007-09-01,0.0863124949359,14231.0,2,topic7
2007-10-01,0.226987277985,16372.0,5,topic7
2007-11-01,1.3300197419,372077.0,30,topic7
2007-12-01,0.130000177922,15856.0,3,topic7
2008-01-01,0.083620306233,160000.0,2,topic7
2008-02-01,0.129065038195,19424.0,3,topic7
2008-03-01,0.0897036621443,20000.0,2,topic7
2008-04-01,0.137255859923,15742.0,3,topic7
2008-05-01,0.046613516356,7500.0,1,topic7
2008-06-01,0.171435774707,26637.0,4,topic7
2008-07-01,0.0865679429155,18948.0,2,topic7
2008-08-01,0.178389863937,31910.0,4,topic7
2008-09-01,0.230712916748,38632.0,5,topic7
2008-10-01,0.139202389944,21300.0,3,topic7
2008-11-01,0.0444247961349,471976.0,1,topic7
2008-12-01,0.213728930164,43830.0,5,topic7
2009-01-01,0.225406873048,43149.0,5,topic7
2009-02-01,0.225676351088,377457.0,5,topic7
2009-03-01,0.128462783548,21553.0,3,topic7
2009-04-01,0.0451007715451,9430.0,1,topic7
2009-05-01,0.142941155657,20796.0,3,topic7
2009-06-01,0.170616451296,32869.0,4,topic7
2009-07-01,0.084419901234,19840.0,2,topic7
2009-08-01,0.172232922965,30334.0,4,topic7
2009-09-01,0.169171381891,26575.0,4,topic7
2009-10-01,0.0463245177054,6203.0,1,topic7
2009-11-01,0.0871762082698,13227.0,2,topic7
2009-12-01,0.228392211669,37646.0,5,topic7
2010-01-01,0.34662121048,52444.0,8,topic7
2010-02-01,0.26735960107,71688.0,6,topic7
2010-03-01,0.177556321642,32821.0,4,topic7
2010-04-01,0.177370492571,24690.0,4,topic7
2010-05-01,0.129748288067,19626.0,3,topic7
2010-06-01,0.176084180694,33917.0,4,topic7
2010-07-01,0.084756164287,18108.0,2,topic7
2010-08-01,0.135615133645,23145.0,3,topic7
2010-09-01,0.0422828843983,10000.0,1,topic7
2010-10-01,0.0,0.0,0,topic7
2010-11-01,0.130934752781,56882.0,3,topic7
2010-12-01,0.138090763159,22100.0,3,topic7
2011-01-01,0.0,0.0,0,topic7
2011-02-01,0.0414216324272,10000.0,1,topic7
2011-03-01,0.0455641337435,7860.0,1,topic7
2011-04-01,0.0870692856497,17703.0,2,topic7
2011-05-01,0.0,0.0,0,topic7
2011-06-01,0.171775001509,31583.0,4,topic7
2011-07-01,0.0444168648578,9333.0,1,topic7
2011-08-01,0.0919783581262,14000.0,2,topic7
2011-09-01,0.129424949807,17023.0,3,topic7
2011-10-01,0.0436178107666,3815.0,1,topic7
2011-11-01,0.0868397031666,19976.0,2,topic7
2011-12-01,0.0880000348445,15130.0,2,topic7
2012-01-01,0.0901100815629,14826.0,2,topic7
2012-02-01,0.13508592715,36913.0,3,topic7
2012-03-01,0.172542218482,34506.0,4,topic7
2012-04-01,0.0421348222717,10000.0,1,topic7
2012-05-01,0.0875947818947,11125.0,2,topic7
2012-06-01,0.0424100764546,10000.0,1,topic7
2012-07-01,0.0500558302965,11374.0,1,topic7
2012-08-01,0.0837019721693,82944.0,2,topic7
2012-09-01,0.0847317789281,7489.0,2,topic7
2012-10-01,0.0907500746996,57420.0,2,topic7
2012-11-01,0.21248274828,60582.0,5,topic7
2012-12-01,0.0,0.0,0,topic7
2013-01-01,0.0856209143072,40000.0,2,topic7
2013-02-01,0.0419171305116,9770.0,1,topic7
2013-03-01,0.0866668966269,14832.0,2,topic7
2013-04-01,0.0834174828993,410508.0,2,topic7
2013-05-01,0.0912563795598,14880.0,2,topic7
2013-06-01,0.0,0.0,0,topic7
2013-07-01,0.172205335263,26270.0,4,topic7
2013-08-01,0.0448957883151,10000.0,1,topic7
2013-09-01,0.0892657939106,5750.0,2,topic7
2013-10-01,0.141087987401,24917.0,3,topic7
2013-11-01,0.218655172027,41455.0,5,topic7
2013-12-01,0.0523594365277,17595.0,1,topic7
2014-01-01,0.221377875352,248634.8,5,topic7
2014-02-01,0.176973287035,23692.6,4,topic7
2014-03-01,0.0878263632498,29711.74,2,topic7
2014-04-01,0.172268425183,59539.49,4,topic7
2014-05-01,0.407198255172,66304.0,9,topic7
2014-06-01,0.284219761089,536063.0,6,topic7
2014-07-01,0.378515711187,333490.0,8,topic7
2014-08-01,0.286669313136,971013.0,6,topic7
2014-09-01,0.144140395596,19984.6,3,topic7
2014-10-01,0.288012747663,111730.0,6,topic7
