index,DocumentWeight,Amount Awarded,Identifier,Topic
1997-09-01,0.0328975944986,18050.0,1,topic8
1997-10-01,0.0,0.0,0,topic8
1997-11-01,0.0,0.0,0,topic8
1997-12-01,0.0,0.0,0,topic8
1998-01-01,0.0,0.0,0,topic8
1998-02-01,0.0,0.0,0,topic8
1998-03-01,0.0,0.0,0,topic8
1998-04-01,0.0,0.0,0,topic8
1998-05-01,0.0,0.0,0,topic8
1998-06-01,0.0,0.0,0,topic8
1998-07-01,0.0,0.0,0,topic8
1998-08-01,0.0,0.0,0,topic8
1998-09-01,0.0,0.0,0,topic8
1998-10-01,0.0,0.0,0,topic8
1998-11-01,0.0,0.0,0,topic8
1998-12-01,0.0,0.0,0,topic8
1999-01-01,0.0,0.0,0,topic8
1999-02-01,0.114349216169,8000.0,3,topic8
1999-03-01,0.0,0.0,0,topic8
1999-04-01,0.0,0.0,0,topic8
1999-05-01,0.0,0.0,0,topic8
1999-06-01,0.0,0.0,0,topic8
1999-07-01,0.0,0.0,0,topic8
1999-08-01,0.0,0.0,0,topic8
1999-09-01,0.0,0.0,0,topic8
1999-10-01,0.0,0.0,0,topic8
1999-11-01,0.0,0.0,0,topic8
1999-12-01,0.0,0.0,0,topic8
2000-01-01,0.0,0.0,0,topic8
2000-02-01,0.0,0.0,0,topic8
2000-03-01,0.0,0.0,0,topic8
2000-04-01,0.0,0.0,0,topic8
2000-05-01,0.0,0.0,0,topic8
2000-06-01,0.0,0.0,0,topic8
2000-07-01,0.0,0.0,0,topic8
2000-08-01,0.0,0.0,0,topic8
2000-09-01,0.0,0.0,0,topic8
2000-10-01,0.0,0.0,0,topic8
2000-11-01,0.0,0.0,0,topic8
2000-12-01,0.0,0.0,0,topic8
2001-01-01,0.0,0.0,0,topic8
2001-02-01,0.0,0.0,0,topic8
2001-03-01,0.0,0.0,0,topic8
2001-04-01,0.0,0.0,0,topic8
2001-05-01,0.0,0.0,0,topic8
2001-06-01,0.0,0.0,0,topic8
2001-07-01,0.0,0.0,0,topic8
2001-08-01,0.0,0.0,0,topic8
2001-09-01,0.0,0.0,0,topic8
2001-10-01,0.0,0.0,0,topic8
2001-11-01,0.0,0.0,0,topic8
2001-12-01,0.0,0.0,0,topic8
2002-01-01,0.0,0.0,0,topic8
2002-02-01,0.0,0.0,0,topic8
2002-03-01,0.0,0.0,0,topic8
2002-04-01,0.0,0.0,0,topic8
2002-05-01,0.0,0.0,0,topic8
2002-06-01,0.0,0.0,0,topic8
2002-07-01,0.0,0.0,0,topic8
2002-08-01,0.0407258108352,20000.0,1,topic8
2002-09-01,0.0,0.0,0,topic8
2002-10-01,0.0,0.0,0,topic8
2002-11-01,0.0,0.0,0,topic8
2002-12-01,0.0,0.0,0,topic8
2003-01-01,0.0,0.0,0,topic8
2003-02-01,0.0,0.0,0,topic8
2003-03-01,0.0,0.0,0,topic8
2003-04-01,0.0,0.0,0,topic8
2003-05-01,0.0,0.0,0,topic8
2003-06-01,0.0,0.0,0,topic8
2003-07-01,0.0,0.0,0,topic8
2003-08-01,0.0,0.0,0,topic8
2003-09-01,0.0,0.0,0,topic8
2003-10-01,0.0,0.0,0,topic8
2003-11-01,0.0,0.0,0,topic8
2003-12-01,0.0,0.0,0,topic8
2004-01-01,0.0,0.0,0,topic8
2004-02-01,0.0,0.0,0,topic8
2004-03-01,0.0,0.0,0,topic8
2004-04-01,0.0,0.0,0,topic8
2004-05-01,0.0333474695641,5000.0,1,topic8
2004-06-01,0.0385266466623,190659.0,1,topic8
2004-07-01,0.0,0.0,0,topic8
2004-08-01,0.0,0.0,0,topic8
2004-09-01,0.0,0.0,0,topic8
2004-10-01,0.0407258108352,54150.0,1,topic8
2004-11-01,0.0,0.0,0,topic8
2004-12-01,0.0,0.0,0,topic8
2005-01-01,0.0328975944986,2286.0,1,topic8
2005-02-01,0.114349216169,7500.0,3,topic8
2005-03-01,0.0,0.0,0,topic8
2005-04-01,0.0,0.0,0,topic8
2005-05-01,0.0328975944986,2000.0,1,topic8
2005-06-01,0.0,0.0,0,topic8
2005-07-01,0.0328975944986,3000.0,1,topic8
2005-08-01,0.0,0.0,0,topic8
2005-09-01,0.0,0.0,0,topic8
2005-10-01,0.114349216169,20500.0,3,topic8
2005-11-01,0.0,0.0,0,topic8
2005-12-01,0.0335052332015,5000.0,1,topic8
2006-01-01,0.0,0.0,0,topic8
2006-02-01,0.0657951889972,10000.0,2,topic8
2006-03-01,0.0,0.0,0,topic8
2006-04-01,0.0,0.0,0,topic8
2006-05-01,0.0,0.0,0,topic8
2006-06-01,0.0,0.0,0,topic8
2006-07-01,0.0324763848476,53043.0,1,topic8
2006-08-01,0.0,0.0,0,topic8
2006-09-01,0.0,0.0,0,topic8
2006-10-01,0.0328975944986,6500.0,1,topic8
2006-11-01,0.0,0.0,0,topic8
2006-12-01,0.0,0.0,0,topic8
2007-01-01,0.0,0.0,0,topic8
2007-02-01,0.0736234053338,31000.0,2,topic8
2007-03-01,0.0,0.0,0,topic8
2007-04-01,0.0,0.0,0,topic8
2007-05-01,0.114349216169,57000.0,3,topic8
2007-06-01,0.0655984370446,22915.0,2,topic8
2007-07-01,0.0736234053338,4500.0,2,topic8
2007-08-01,0.0,0.0,0,topic8
2007-09-01,0.0,0.0,0,topic8
2007-10-01,0.0407258108352,1500.0,1,topic8
2007-11-01,0.0,0.0,0,topic8
2007-12-01,0.0,0.0,0,topic8
2008-01-01,0.0,0.0,0,topic8
2008-02-01,0.139418594331,57000.0,4,topic8
2008-03-01,0.0342676621253,5999.0,1,topic8
2008-04-01,0.0,0.0,0,topic8
2008-05-01,0.0667748132927,8690.0,2,topic8
2008-06-01,0.0325436653228,8360.0,1,topic8
2008-07-01,0.0328975944986,5000.0,1,topic8
2008-08-01,0.0,0.0,0,topic8
2008-09-01,0.0,0.0,0,topic8
2008-10-01,0.0328975944986,5000.0,1,topic8
2008-11-01,0.0,0.0,0,topic8
2008-12-01,0.0,0.0,0,topic8
2009-01-01,0.0336647377891,115599.0,1,topic8
