Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0030035460,Dance and Costume-making workshops,"The group's objectives are to bring together young people of Mexican heritage to explore the music, dance and traditions of Mexico.This project is to hold a series of workshops for young people in which they will be encouraged to design the traditional costumes of the 32 Mexican states and will put in stages the traditional dances. They will also hold a series of workshops with qualified teachers about Mexican history.",2005-07-20,3023.0,360G-blf,The Big Lottery Fund,0.0206196580085
360G-blf-0030044045,For the Fun of ... Community Arts Project,"A project to provide a community arts event including street painting, photography, spray-painting, DJ-ing, music performance coaching, animation, pottery, paper-flower designs and other hand crafts workshops. Additionally, space will be offered for exhibition/demonstration to other local professional and non-professional artists and a promotional night to which all participants, councillors, sponsors and guests will be invited to view work, performances, live art and join in the celebration.",2006-02-16,5000.0,360G-blf,The Big Lottery Fund,0.0206190406729
360G-blf-0031032187,"Celebrate, Community Festival.","The voluntary organisation will use the funding to hold a free community festival day which will include arts and crafts activities, music activities and dance and exercise workshops. This will bring local people together to tackle the recent rise in hate crimes and to help reduce social isolation.",2016-03-09T00:00:00+00:00,8584.0,360G-blf,The Big Lottery Fund,0.020603034513
360G-blf-0030001068,GFest-gaywise LGBT Arts Festival,"This project will present a lesbian, gay, bisexual and transgender (LGBT) visual arts exhibition, performances and film screenings combined with workshops and networking events for the public and artists to promote better understanding of LGBT people.",2007-10-22,8800.0,360G-blf,The Big Lottery Fund,0.0205957100056
360G-blf-0030037220,Handbridge Community Arts Festival,"This school will work with a number of local groups to organise a festival, offering a wide variety of arts performances and workshops to the whole community over a weekend.  The responses to these activities will help to develop a programme of regular classes or sessions based at the school. artists fees for workshops, workshop materials, support fund for other events, publicity materials, fees to run courses after festival, and exhibition materials and costs.",2005-03-22,4900.0,360G-blf,The Big Lottery Fund,0.0205885552418
360G-blf-0030049635,World music workshops,"The school will use the award to hold music workshops and performances as an extra curricular activity and will extend the project by inviting parents to take part in the workshops. musical equipment, and teaching costs.",2006-03-16,4500.0,360G-blf,The Big Lottery Fund,0.0205847504691
360G-blf-AHF_1_010154123,Historian Talk and Celebration,This group will use their award to hold a social and reminiscence day. This event will incorporate a talk by a local historian.,2005-05-26,1650.0,360G-blf,The Big Lottery Fund,0.0205824108648
360G-blf-0031043098,Freehold Pride for all.,"The project will use the funding to hold three community events including an African themed music and dance evening, a street party and a cultural event to celebrate international womenâ€™s day. These events will celebrate the diversity of the area and will engage a wide range of local people.  ",2016-12-05T00:00:00+00:00,8760.0,360G-blf,The Big Lottery Fund,0.0205687251861
360G-blf-0030002343,"Silloth Festivals, Craft, Music, Kites & Art Workshops","This organisation will use an award to arrange a series of workshops and demonstrations in a number of activities including music, crafts, kite flying, healthy eating, and art. It will also provide opportunities for bands and musicians to perform live.",2007-06-20,5200.0,360G-blf,The Big Lottery Fund,0.0205658259189
360G-blf-0030040512,Viva La Salsa,"The group promotes the wellbeing of the Latin American community. The award will fund a cultural event, ""Viva la Salsa"", in Islington, with Latin American music, dance, arts, language and food.",2006-05-17,5000.0,360G-blf,The Big Lottery Fund,0.0205576627495
360G-blf-0030006714,Leighton - Linsdale Music and Arts Festival 2007,This organisation promotes increased participation in arts activities by the local community. The project  is a three week Arts Festival which will give local people access to a diverse range of music and art provided by local voluntary groups.,2006-12-18,5000.0,360G-blf,The Big Lottery Fund,0.0205557073269
360G-blf-AHF_1_010167191,VE Day Celebrations,The Newburn Community Association will use an award to carry out a 1940's style celebratory event in recognition of the 60th anniversary of WW2.  the group hope to recreate the atmosphere of VE day and also conduct display of wartime cookery and jitterbug dancing.,2005-07-15,1015.0,360G-blf,The Big Lottery Fund,0.0205488820588
360G-blf-AHF_1_010167841,60th Anniversary Commemoration event,"Milltown Rural Development Association in County Down will use an award to host a commemorative two day festival that will remember the 60th anniversary of WW2. The group will also undertake a trip to the Belfast War Museum followed by a dinner dance, this will be for the benefit of local veterans in the community.",2005-06-24,15235.0,360G-blf,The Big Lottery Fund,0.0205432385603
360G-blf-0030044540,Caribbean Calypso,"The group will run workshops in Caribbean dance and music using professional artists. A band will then be set up to perform at the Riverside Festival in Gainsborough. The award is for artists fees, venue hire, advertising, materials, musical instruments.",2006-03-17,2630.0,360G-blf,The Big Lottery Fund,0.0205416430894
360G-blf-0030048113,Dance Eden,"The project is for a week long festival taking place in a number of venues to introduce diverse dance to the area.  The festival will include a series of workshops delivered by visiting companies and specialist performers and will include Argentinian Tango, Belly Dancing, Zimbabwean, Motionhouse and Breakdance as well as five community mask making workshops.  The money is for Dance Workshops, Dance Performance and Training Classes X 3, Community Mask Making Workshops X 5.",2006-03-31,4600.0,360G-blf,The Big Lottery Fund,0.0205407924991
360G-blf-0030027197,There is no project name available for this record,"This group delivers a wide range of arts projects to people in rural communities.  They will use the award to run a project called Music Factory Apprentices for young people.  They will provide weekend workshops in local traditional music, mulitcultural music and percusssion.  The project will culminate in a performance and a CD recording.",2005-07-20,3270.0,360G-blf,The Big Lottery Fund,0.0205392142202
360G-blf-AHF_1_010165439,Commemoration Day,"The Wivenhoe Town Council will use their award to hold a celebration event to commemorate the 60th anniversary of the end of the Second World War. The village hall will be transformed into a wartime bunker, a dance with 1940's entertainment will also be held.",2005-06-17,1565.0,360G-blf,The Big Lottery Fund,0.0205386408763
360G-blf-0030032161,Willow festival,"The church will use the award to resurrect the ancient village custom to celebrate the end of willow peeling. The project is to hold a willow festival with various stalls explaining the many different uses of willow and to revive the associated traditions of garland dancing and country music making. The award is for willow demonstrator, willow materials, garland dancers, basket maker, country fiddlers and publicity.",2005-02-11,560.0,360G-blf,The Big Lottery Fund,0.0205244646712
360G-blf-0031038942,Coming Together,"The organisation will use funding to run a series of workshops, events and fetes to celebrate the 10th anniversary of the community centre. Music, drama, art work and educational workshops will be ran to celebrate the stories of people in the area, encouraging engagement and integration.",2016-08-25T00:00:00+00:00,9145.0,360G-blf,The Big Lottery Fund,0.020522190702
