DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.55369474307,91160.0,25,topic14
0.276180056586,72907.0,13,topic14
0.281903979553,55665.0,13,topic14
0.559277005961,111003.0,26,topic14
1.43214834009,350681.0,67,topic14
1.30177580206,327927.0,61,topic14
0.413253880663,80672.0,19,topic14
0.919340106118,187264.0,42,topic14
0.367066143505,83842.0,17,topic14
0.326538825461,102446.0,15,topic14
0.170786622608,56815.0,8,topic14
0.308478437757,98320.0,14,topic14
0.577512583889,175231.0,26,topic14
0.371004456003,129200.0,17,topic14
0.129031844365,49597.0,6,topic14
0.284529482105,151258.0,13,topic14
0.375926504244,139478.0,17,topic14
0.263668093402,81216.0,12,topic14
0.17516710241,87687.0,8,topic14
0.245944890758,85557.0,11,topic14
0.0444614814554,5000.0,2,topic14
0.0828645249006,35000.0,4,topic14
0.043735589273,15400.0,2,topic14
0.0207868192201,9980.0,1,topic14
0.0467709822416,12500.0,2,topic14
0.0221445078222,6150.0,1,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0204620820879,10000.0,1,topic14
0.0444810195978,204180.0,2,topic14
0.0,0.0,0,topic14
0.0231796561221,8200.0,1,topic14
0.0,0.0,0,topic14
0.0631518279527,301696.0,3,topic14
0.108315665784,44228.0,5,topic14
0.0198419843206,9500.0,1,topic14
0.0859956363733,33977.0,4,topic14
0.0216898893953,2100.0,1,topic14
0.0743385013711,17005.0,3,topic14
0.0871234926624,29572.0,4,topic14
0.0,0.0,0,topic14
0.0234704412232,9875.0,1,topic14
0.0,0.0,0,topic14
0.064390549978,24488.0,3,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.020603034513,8584.0,1,topic14
0.0234307140327,4600.0,1,topic14
0.210957782903,80925.0,10,topic14
0.276889358621,71479.0,13,topic14
0.0639665037712,20175.0,3,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0,0.0,0,topic14
0.0211089609434,1000.0,1,topic14
