DocumentWeight,Amount Awarded,Identifier,Topic
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.0,0.0,0,topic6
0.145384231256,10688.0,4,topic6
0.155196485124,12117.0,4,topic6
0.262930862336,58639.0,7,topic6
0.152045989189,257868.0,4,topic6
0.171981859614,24556.0,4,topic6
0.179560967982,23457.0,5,topic6
0.181593042931,18200.0,5,topic6
0.298989732314,32852.0,8,topic6
0.19305796344,17665.0,5,topic6
0.269769293379,26639.0,7,topic6
0.483261062911,54614.0,13,topic6
0.381620665067,61007.0,10,topic6
0.250077814674,54251.0,7,topic6
0.299899864177,274035.0,8,topic6
0.234375975395,43471.0,6,topic6
0.299473685165,58162.0,8,topic6
0.180477058635,42662.0,5,topic6
0.297381005541,50889.0,8,topic6
0.255198203806,37932.0,7,topic6
0.293776179727,65843.0,8,topic6
0.13847477018,22800.0,4,topic6
0.0354612858999,3600.0,1,topic6
0.143043308367,19230.0,4,topic6
0.296630042398,34224.0,8,topic6
0.175289113483,29238.0,5,topic6
0.214159849897,30500.0,6,topic6
0.109231535428,12184.0,3,topic6
0.161878680713,16470.0,4,topic6
0.104592564107,20363.0,3,topic6
0.20809480622,34119.0,6,topic6
0.281353712918,41637.0,8,topic6
0.223010636009,34525.0,6,topic6
0.355817026079,54686.0,9,topic6
0.0354612858999,0.0,1,topic6
0.170318172247,32430.0,5,topic6
0.160006053083,23708.0,4,topic6
0.110294393958,17804.0,3,topic6
0.309647057772,1035991.0,8,topic6
0.235114120367,30508.0,6,topic6
0.740030822125,85371.0,17,topic6
1.61275976992,537532.8,35,topic6
2.0154100512,233358.4,45,topic6
1.57446611796,347971.6,34,topic6
1.36840902764,600938.6,30,topic6
0.627099040433,84099.0,16,topic6
0.709932437067,87058.0,17,topic6
0.384012295905,31144.0,9,topic6
0.4474637927,86640.0,11,topic6
0.403984683682,39543.0,9,topic6
0.249956953409,50098.0,7,topic6
0.481142887679,57788.0,11,topic6
0.479041190911,92767.0,12,topic6
0.191972410487,19065.0,5,topic6
0.243026179189,33329.0,6,topic6
0.324810366159,35322.2,8,topic6
0.0372265002482,2500.0,1,topic6
